ano;pagina;tabela;arquivo;n_linhas;n_colunas;primeira_linha
2014;10;1;slu_2014_p010_t1.csv;25;55; |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | REGIÕES |  |  |  |  |  |  | 
2014;13;2;slu_2014_p013_t2.csv;2;2; | Gerência de Controle e Qualidade
2014;13;3;slu_2014_p013_t3.csv;2;1;Núcleo de Manutenção de Próprios
2014;13;4;slu_2014_p013_t4.csv;2;2; | Núcleo de Patrimônio e Almoxarifado
2014;13;7;slu_2014_p013_t7.csv;2;2; | Limpeza de Brasília Norte Núcleo Regional de Limpezade Brasília Sul
2014;13;8;slu_2014_p013_t8.csv;8;15; |  |  |  |  |  |  |  |  |  | TOTAL |  |  |  | 
2014;15;1;slu_2014_p015_t1.csv;20;3;N° | Lixão do Jóquei – Acidentes | 
2014;16;1;slu_2014_p016_t1.csv;2;1;a. Servidores por Diretoria em dezembro 2014
2014;17;1;slu_2014_p017_t1.csv;12;16;PESSOAL E EQUIPAMENTOS ENVOLVIDOS NA LIMPEZA URBANA |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
2014;17;2;slu_2014_p017_t2.csv;3;16; | PESSOAL ATERRO SANITÁRIO OESTE |  |  | SERVENTE | OPERADOR DE MÁQUINAS |  |  | FISCAL DE |  |  | PESSOAL |  | MOTORISTA | TOTAL | 
2014;17;3;slu_2014_p017_t3.csv;5;16; | PESSOAL LIXÃO JÓQUEI |  |  | SERVENTE | OPERADOR DE MÁQUINAS |  |  | FISCAL DE |  |  | PESSOAL |  | MOTORISTA | TOTAL | 
2014;17;4;slu_2014_p017_t4.csv;3;16; | PESSOAL DISPOSIÇÃO FINAL |  |  | SERVENTE | OPERADOR DE MÁQUINAS |  |  | FISCAL DE |  |  | PESSOAL |  | MOTORISTA | TOTAL | 
2014;17;5;slu_2014_p017_t5.csv;4;3;uantitativo de estagiários e PNEs - Dezembro 2014 |  | 
2014;18;1;slu_2014_p018_t1.csv;47;9;INSTITUIÇÃO |  | ENDEREÇO | CONTATO |  | EQUIPAMENTOS | TERRENO |  | Nº CATADORES
2014;19;1;slu_2014_p019_t1.csv;13;23; |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | TOTAL | 
2014;19;2;slu_2014_p019_t2.csv;14;23; | EQUIPAMENTOS |  |  | TRATOR |  |  |  |  |  |  |  |  | CAMINHÃO |  |  |  |  |  |  |  |  | 
2014;20;1;slu_2014_p020_t1.csv;32;25;Programa Trabalho |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | o
2014;22;2;slu_2014_p022_t2.csv;3;1;293
2014;23;1;slu_2014_p023_t1.csv;2;1;UNO 2014/15 OZY 3239 Administração Samambaia* UNO 2014/15 OZY 9521 Casa Civil* UNO 2014/15 OZY 9524 Casa Civil*
2014;23;2;slu_2014_p023_t2.csv;2;1;UNO 2014/15 OZY 3217 Núcleo de Ceilândia
2014;23;3;slu_2014_p023_t3.csv;2;1;KOMBI JDQ 1939 Gerência de Serviços Gerais KOMBI JDQ 3399 Gerência de Serviços Gerais UNO 2014/15 OZY 3225 Gerência de Serviços Gerais UNO 2014/15 OZY 3230 Gerência de Serviços Gerais UNO 2014/15 OZY 
2014;23;4;slu_2014_p023_t4.csv;2;1;UNO 2014/15 OZY 3258 Secretaria de Governo*
2014;23;5;slu_2014_p023_t5.csv;8;6;Nº | REGIÃO ADMINISTRATIVA | ENDEREÇO | ÁREA TOTAL | ÁREA CONSTRUÍDA | UNIDADE OCUPANTE
2014;24;1;slu_2014_p024_t1.csv;5;6;08 | Núcleo Bandeirante | Avenida do Contorno A.E 06 Lote K | 1.542,60 m² | ----- | 542 m² Cedidos à Secretaria de Estado da Criança
2014;24;2;slu_2014_p024_t2.csv;23;5; | Sede | Núcleo | RA | Endereço
2014;26;1;slu_2014_p026_t1.csv;14;24; |  |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor Global | 
2014;27;1;slu_2014_p027_t1.csv;11;24; |  |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor | 
2014;27;2;slu_2014_p027_t2.csv;5;24; |  |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor Global | 
2014;28;1;slu_2014_p028_t1.csv;5;23; |  |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor Global
2014;28;2;slu_2014_p028_t2.csv;5;22; |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor Glo bal (R$)
2014;28;3;slu_2014_p028_t3.csv;5;21; |  |  |  |  |  |  |  | Data de Assinatura |  |  | Data de |  |  |  |  |  |  |  |  | Valor Glo bal (R$)
2014;28;4;slu_2014_p028_t4.csv;5;22; |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor Global
2014;29;1;slu_2014_p029_t1.csv;6;23; |  |  |  |  |  |  |  |  | Data de |  |  | Data de |  |  |  |  |  |  |  |  | Valor Global | 
