ano;loa_receita_rs;despesa_rs;relatorio_fonte
2011;323272152.0;262768454.0;2025
2012;310685339.0;361897714.0;2025
2013;389082954.0;409233166.0;2025
2014;366068361.0;443347285.0;2025
2015;346111997.0;487197691.0;2025
2016;498067973.0;495849555.0;2025
2017;472234656.0;532513645.0;2025
2018;532116663.0;547033386.0;2025
2019;534773833.0;497348293.0;2025
2020;585489991.0;531602486.0;2025
2021;547859303.0;568336065.0;2025
2022;589308218.0;686468543.0;2025
2023;685250423.0;815790562.0;2025
2024;676314030.0;620788954.0;2025
2025;712104967.0;202366464.0;2025
