index;ano;atividade_id;atividade_rotulo;unidade;valor;relatorio_fonte;n_fontes;divergencia_pct
0;2014;animais_mortos;Coleta de animais mortos;unidade;4481.0;2016.0;1.0;0.0
12;2015;animais_mortos;Coleta de animais mortos;unidade;2952.0;2018.0;3.0;0.0
25;2016;animais_mortos;Coleta de animais mortos;unidade;3281.0;2018.0;3.0;0.0
38;2017;animais_mortos;Coleta de animais mortos;t;63.06;2025.0;6.0;0.0
39;2017;animais_mortos;Coleta de animais mortos;unidade;2920.0;2019.0;3.0;0.0
63;2018;animais_mortos;Coleta de animais mortos;t;83.0;2025.0;6.0;0.0
64;2018;animais_mortos;Coleta de animais mortos;unidade;3011.0;2019.0;2.0;0.0
88;2019;animais_mortos;Coleta de animais mortos;t;76.18;2025.0;6.0;0.0
89;2019;animais_mortos;Coleta de animais mortos;unidade;2181.0;2019.0;1.0;0.0
110;2020;animais_mortos;Coleta de animais mortos;t;65.84;2025.0;6.0;0.0
131;2021;animais_mortos;Coleta de animais mortos;t;76.82;2025.0;5.0;0.0
152;2022;animais_mortos;Coleta de animais mortos;t;79.95;2025.0;4.0;0.0
171;2023;animais_mortos;Coleta de animais mortos;t;64.82;2025.0;3.0;0.0
190;2024;animais_mortos;Coleta de animais mortos;t;69.69;2025.0;2.0;0.0
202;2025;animais_mortos;Coleta de animais mortos;t;69.54;2025.0;1.0;0.0
40;2017;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;252703.0;2025.0;4.0;0.0
65;2018;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;749608.0;2025.0;4.0;0.0
90;2019;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;800872.0;2025.0;4.0;0.0
111;2020;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;821089.0;2025.0;4.0;0.0
132;2021;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;760763.0;2025.0;4.0;0.0
153;2022;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;718554.0;2025.0;4.0;0.0
172;2023;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;743776.0;2025.0;3.0;0.0
191;2024;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;761311.0;2025.0;2.0;0.0
203;2025;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;773093.0;2025.0;1.0;0.0
112;2020;caixa_gordura;Resíduos de caixa de gordura / pós-eventos;t;107.25;2025.0;6.0;0.0
133;2021;caixa_gordura;Resíduos de caixa de gordura / pós-eventos;t;97.67;2025.0;5.0;0.0
154;2022;caixa_gordura;Resíduos de caixa de gordura / pós-eventos;t;81.42;2025.0;4.0;0.0
173;2023;caixa_gordura;Resíduos de caixa de gordura / pós-eventos;t;84.83;2025.0;3.0;0.0
192;2024;caixa_gordura;Resíduos de caixa de gordura / pós-eventos;t;81.84;2025.0;2.0;0.0
204;2025;caixa_gordura;Resíduos de caixa de gordura / pós-eventos;t;79.33;2025.0;1.0;0.0
41;2017;catacao_papel;Catação de papel em áreas verdes;equipe;363.7;2023.0;5.0;0.0
66;2018;catacao_papel;Catação de papel em áreas verdes;equipe;414.64;2023.0;5.0;0.0
91;2019;catacao_papel;Catação de papel em áreas verdes;equipe;411.99;2023.0;5.0;0.0
113;2020;catacao_papel;Catação de papel em áreas verdes;equipe;323.8;2023.0;4.0;0.0
134;2021;catacao_papel;Catação de papel em áreas verdes;equipe;97.67;2023.0;3.0;0.0
155;2022;catacao_papel;Catação de papel em áreas verdes;equipe;81.42;2023.0;2.0;0.0
174;2023;catacao_papel;Catação de papel em áreas verdes;equipe;84.83;2023.0;1.0;0.0
1;2014;catacao_residuos;Catação de resíduos;ha;190573.0;2016.0;1.0;0.0
13;2015;catacao_residuos;Catação de resíduos;ha;143878.0;2018.0;3.0;0.0
26;2016;catacao_residuos;Catação de resíduos;ha;150975.0;2018.0;3.0;0.0
42;2017;catacao_residuos;Catação de resíduos;ha;187268.0;2018.0;2.0;0.0
67;2018;catacao_residuos;Catação de resíduos;ha;214456.0;2018.0;1.0;0.0
2;2014;coleta_corretiva;Coleta de remoção (corretiva);t;741750.0;2016.0;1.0;0.0
14;2015;coleta_corretiva;Coleta de remoção (corretiva);t;706855.0;2018.0;3.0;0.0
27;2016;coleta_corretiva;Coleta de remoção (corretiva);t;772268.0;2018.0;3.0;0.0
43;2017;coleta_corretiva;Coleta de remoção (corretiva);t;636005.0;2025.0;9.0;0.0
68;2018;coleta_corretiva;Coleta de remoção (corretiva);t;438079.0;2025.0;8.0;0.22
92;2019;coleta_corretiva;Coleta de remoção (corretiva);t;425175.0;2025.0;7.0;0.0
114;2020;coleta_corretiva;Coleta de remoção (corretiva);t;615760.8;2025.0;6.0;0.0
135;2021;coleta_corretiva;Coleta de remoção (corretiva);t;612086.0;2025.0;5.0;0.0
156;2022;coleta_corretiva;Coleta de remoção (corretiva);t;600048.4;2025.0;4.0;0.0
175;2023;coleta_corretiva;Coleta de remoção (corretiva);t;651290.0;2025.0;3.0;0.0
193;2024;coleta_corretiva;Coleta de remoção (corretiva);t;653934.6;2025.0;2.0;0.0
205;2025;coleta_corretiva;Coleta de remoção (corretiva);t;678075.0;2025.0;1.0;0.0
3;2014;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;844186.0;2016.0;1.0;0.0
15;2015;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;843217.0;2018.0;3.0;0.0
28;2016;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;818771.0;2018.0;3.0;0.0
44;2017;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;828765.0;2025.0;9.0;0.06
69;2018;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;800685.0;2025.0;8.0;0.0
93;2019;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;782125.0;2025.0;7.0;0.0
115;2020;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;786122.0;2025.0;6.0;0.0
136;2021;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;729082.7;2025.0;5.0;0.0
157;2022;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;696995.94;2025.0;4.0;0.0
176;2023;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;710679.23;2025.0;3.0;0.0
194;2024;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;730174.41;2025.0;2.0;0.0
206;2025;coleta_domiciliar_comercial;Coleta domiciliar e comercial;t;724393.0;2025.0;1.0;0.0
4;2014;coleta_rss;Coleta de resíduos de serviços de saúde;t;2800.0;2016.0;1.0;0.0
16;2015;coleta_rss;Coleta de resíduos de serviços de saúde;t;2466.0;2018.0;3.0;0.0
29;2016;coleta_rss;Coleta de resíduos de serviços de saúde;t;2217.0;2018.0;3.0;0.0
45;2017;coleta_rss;Coleta de resíduos de serviços de saúde;t;2165.0;2024.0;8.0;0.0
70;2018;coleta_rss;Coleta de resíduos de serviços de saúde;t;2417.0;2024.0;7.0;0.0
94;2019;coleta_rss;Coleta de resíduos de serviços de saúde;t;2513.0;2024.0;6.0;0.0
116;2020;coleta_rss;Coleta de resíduos de serviços de saúde;t;3130.2;2024.0;5.0;0.0
137;2021;coleta_rss;Coleta de resíduos de serviços de saúde;t;506.8;2024.0;4.0;0.0
5;2014;coleta_seletiva;Coleta seletiva;t;48586.0;2016.0;1.0;0.0
17;2015;coleta_seletiva;Coleta seletiva;t;57496.0;2018.0;3.0;0.0
30;2016;coleta_seletiva;Coleta seletiva;t;48673.0;2018.0;3.0;0.0
46;2017;coleta_seletiva;Coleta seletiva;t;29968.0;2025.0;9.0;0.01
