ano;atividade_id;atividade_rotulo;unidade;valor;relatorio_fonte
2014;animais_mortos;Coleta de animais mortos;unidade;4481.0;2016
2015;animais_mortos;Coleta de animais mortos;unidade;2952.0;2016
2015;animais_mortos;Coleta de animais mortos;unidade;2952.0;2017
2015;animais_mortos;Coleta de animais mortos;unidade;2952.0;2018
2016;animais_mortos;Coleta de animais mortos;unidade;3281.0;2016
2016;animais_mortos;Coleta de animais mortos;unidade;3281.0;2017
2016;animais_mortos;Coleta de animais mortos;unidade;3281.0;2018
2017;animais_mortos;Coleta de animais mortos;unidade;2920.0;2017
2017;animais_mortos;Coleta de animais mortos;unidade;2920.0;2018
2017;animais_mortos;Coleta de animais mortos;unidade;2920.0;2019
2017;animais_mortos;Coleta de animais mortos;t;63.06;2020
2017;animais_mortos;Coleta de animais mortos;t;63.06;2021
2017;animais_mortos;Coleta de animais mortos;t;63.06;2022
2017;animais_mortos;Coleta de animais mortos;t;63.06;2023
2017;animais_mortos;Coleta de animais mortos;t;63.06;2024
2017;animais_mortos;Coleta de animais mortos;t;63.06;2025
2018;animais_mortos;Coleta de animais mortos;unidade;3011.0;2018
2018;animais_mortos;Coleta de animais mortos;unidade;3011.0;2019
2018;animais_mortos;Coleta de animais mortos;t;83.0;2020
2018;animais_mortos;Coleta de animais mortos;t;83.0;2021
2018;animais_mortos;Coleta de animais mortos;t;83.0;2022
2018;animais_mortos;Coleta de animais mortos;t;83.0;2023
2018;animais_mortos;Coleta de animais mortos;t;83.0;2024
2018;animais_mortos;Coleta de animais mortos;t;83.0;2025
2019;animais_mortos;Coleta de animais mortos;unidade;2181.0;2019
2019;animais_mortos;Coleta de animais mortos;t;76.18;2020
2019;animais_mortos;Coleta de animais mortos;t;76.18;2021
2019;animais_mortos;Coleta de animais mortos;t;76.18;2022
2019;animais_mortos;Coleta de animais mortos;t;76.18;2023
2019;animais_mortos;Coleta de animais mortos;t;76.18;2024
2019;animais_mortos;Coleta de animais mortos;t;76.18;2025
2020;animais_mortos;Coleta de animais mortos;t;65.84;2020
2020;animais_mortos;Coleta de animais mortos;t;65.84;2021
2020;animais_mortos;Coleta de animais mortos;t;65.84;2022
2020;animais_mortos;Coleta de animais mortos;t;65.84;2023
2020;animais_mortos;Coleta de animais mortos;t;65.84;2024
2020;animais_mortos;Coleta de animais mortos;t;65.84;2025
2021;animais_mortos;Coleta de animais mortos;t;76.82;2021
2021;animais_mortos;Coleta de animais mortos;t;76.82;2022
2021;animais_mortos;Coleta de animais mortos;t;76.82;2023
2021;animais_mortos;Coleta de animais mortos;t;76.82;2024
2021;animais_mortos;Coleta de animais mortos;t;76.82;2025
2022;animais_mortos;Coleta de animais mortos;t;79.95;2022
2022;animais_mortos;Coleta de animais mortos;t;79.95;2023
2022;animais_mortos;Coleta de animais mortos;t;79.95;2024
2022;animais_mortos;Coleta de animais mortos;t;79.95;2025
2023;animais_mortos;Coleta de animais mortos;t;64.82;2023
2023;animais_mortos;Coleta de animais mortos;t;64.82;2024
2023;animais_mortos;Coleta de animais mortos;t;64.82;2025
2024;animais_mortos;Coleta de animais mortos;t;69.69;2024
2024;animais_mortos;Coleta de animais mortos;t;69.69;2025
2025;animais_mortos;Coleta de animais mortos;t;69.54;2025
2017;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;252703.0;2022
2017;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;252703.0;2023
2017;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;252703.0;2024
2017;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;252703.0;2025
2018;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;749608.0;2022
2018;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;749608.0;2023
2018;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;749608.0;2024
2018;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;749608.0;2025
2019;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;800872.0;2022
2019;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;800872.0;2023
2019;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;800872.0;2024
2019;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;800872.0;2025
2020;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;821089.0;2022
2020;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;821089.0;2023
2020;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;821089.0;2024
2020;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;821089.0;2025
2021;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;760763.0;2022
2021;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;760763.0;2023
2021;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;760763.0;2024
2021;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;760763.0;2025
2022;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;718554.0;2022
2022;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;718554.0;2023
2022;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;718554.0;2024
2022;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;718554.0;2025
2023;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;743776.0;2023
2023;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;743776.0;2024
2023;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;743776.0;2025
2024;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;761311.0;2024
2024;aterrado_asb;Resíduos aterrados no Aterro Sanitário de Brasília;t;761311.0;2025
