N°;Lixão do Jóquei – Acidentes;
;Data;Acidente (causa)
;2009;
1;2009;Fatal – Pneu da carreta passou em cima
;2012;
2;06/12/2012;Fatal – carreta tombou em cima da catadora
;2013;
3;2013;Acidente grave (perdeu couro cabeludo)
4;26/02/2013;Acidente – Queimado foi socorrido por fiscal
5;27/03/2013;Acidente grave (perdeu ponta dos dedos)
6;20/07/2013;Acidente Grave – Braço decepado pela lâmina do trator
7;05/08/2013;Acidente Grave – Pé preso à carreta
8;28/10/2013;Atropelamento
;2014;
9;02/2014;Fatal – Encontrado morto na lagoa de chorume
10;03/04/2014;Fatal – Atropelamento
11;04/06/2014;Acidente Grave – Queda seguida de esmagamento por um caminhão
12;02/09/2014;Fatal – Atropelamento
13;09/2014;Fatal – Atropelamento
14;11/2014;Acidente grave (perdeu os pés)
