PESSOAL E EQUIPAMENTOS ENVOLVIDOS NA LIMPEZA URBANA;;;;;;;;;;;;;;;
;PESSOAL LIMPEZA URBANA;;;GARI VARRIÇÃO;GARI COLETA;;;;;;PESSOAL DIVERSOS*;;PESSOAL ADMINISTRATI VO;TOTAL GERAL;
;;;;;;;;MOTORISTA;;;;;;;
SUSTENTARE (Contrato 12/2012) Coleta Convencional e limpeza urbana;;;1.800;;515;;150;;;-;;-;;2.465;
VALOR AMBIENTAL (Contrato 14/2009) Coleta Convencional e limpeza urbana;;;878;;225;;79;;;189;;-;;1.371;
VALOR AMBIENTAL (Contrato 13/2012) Coleta Convencional e limpeza urbana;;;655;;156;;30;;;46;;28;;915;
STERECYCLE (Contrato 10/2012) Lixo Hospitalar;;;-;;17;;14;;;34**;;4;;69;
CGC CONCESSÕES (Contrato 15/2013) Coleta Seletiva – Lote 1;;;-;;24;;12;;;-;;10;;46;
QUEBEC (Contrato 18/2013) Coleta Seletiva – Lote 3;;;-;;36;;16;;;-;;4;;56;
VALOR AMBIENTAL (Contrato 12/2014) Coleta Seletiva – Lote 2;;;-;;20;;10;;;-;;3;;33;
VALOR AMBIENTAL (Contrato 17/2013) Coleta Seletiva – Lote 4;;;-;;28;;14;;;-;;-;;42;
TOTAL;;;3.333;;1.021;;325;;;269;;49;;4.997;
