;;;;;;;;;;;;;;;;;;;;;TOTAL;
;EQUIPAMENTOS LIMPEZA;;;;;;CAMINHÃO;;;CAÇAMBA;;;CAÇAMBA;;;CAMINHÃO;;;PÁ;;;
;;;;VARREDEIRA;;;;;;;;;;;;;;;;;;
;URBANA;;;;;;COLETOR/BAÚ;;;TOCO;;;TRUCADA;;;PIPA;;;MECÂNICA;;;
SUSTENTARE (Contrato 12/2012) Coleta Convencional e limpeza urbana;;;2;;;47;;;12;;;20;;;5;;;7;;;93;
VALOR AMBIENTAL (Contrato 14/009) Coleta Convencional e limpeza urbana;;;1;;;30;;;4;;;18;;;2;;;4;;;59;
VALOR AMBIENTAL (Contrato 13/2012) Coleta Convencional e limpeza urbana;;;1;;;18;;;5;;;13;;;2;;;3;;;42;
CGC CONCESSÕES (Contrato 15/2013) Coleta Seletiva – Lote 1;;;-;;;6;;;-;;;-;;;-;;;-;;;6;
QUEBEC (Contrato 18/2013) Coleta Seletiva – Lote 3;;;-;;;8;;;-;;;-;;;-;;;-;;;8;
VALOR AMBIENTAL (Contrato 12/2014) Coleta Seletiva – Lote 2;;;-;;;5;;;-;;;-;;;-;;;-;;;5;
VALOR AMBIENTAL (Contrato 17/2013) Coleta Seletiva – Lote 4;;;-;;;7;;;-;;;-;;;-;;;-;;;7;
STERECYCLE (Contrato 10/2012) Lixo Hospitalar;;;-;;;9;;;-;;;-;;;-;;;-;;;9;
TOTAL;;;4;;;130;;;21;;;51;;;9;;;14;;;229;
