;Sede;Núcleo;RA;Endereço
;;SEDE SLU;Brasília;SCS – QUADRA 08 – Bloco B50 – 9º Andar - Ed. Venâncio 2000
1;DD LL NN OO RR TT EE;NUPAR;Paranoá/Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02"
2;;NUPLA;Planaltina;A/E Norte LT. 11/12
3;;NUSEB;São Sebastião;Qudara 305, Conj. 14 Lote 02, Bairro Residencial Oeste
4;;NUSOB;Sobradinho;A/E Indústria 3 LT 04/06
5;;NUSOB II*;Sobradinho II;A/E Indústria 3 LT 04/06
6;D L S U L;NUBRAZ;Brazlândia;Área Especial nº 02 Norte
7;;NUCEI;Ceilândia;QNN 29 módulo G a K Área Especial
8;;NUCLA;Águas Claras;Parque do Areal - Areal
9;;NUEST;Cidade Estrutural;AE. Quadra 15, Conj. C1 Aterro Sanitário
10;;NUTAG;Taguatinga;ONG 47 Área Especial 09
11;;NUOPE;Asa Sul;Avenida das Nações S/N
12;DD LL LL EE SS TT EE;NUEMA;Recanto das Emas;Avenida Vargem da Benção, Chácara nº 03
13;;NUGAM;Gama;AV. Contorno A/E 2 Setor Norte
14;;NUMAR;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul"
15;;NURIF;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 - Administração do Riacho Fundo
16;;NUSAM;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul
17;DD LL OO EE SS TT EE;NUBAN;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2
18;;NUCRU;Cruzeiro;"Área Especial ""H"" - Lote 28 - Administração Cruzeiro Velho"
19;;NUGUA;Guará;Área Especial do CAVE - Administração do Guará
20;;NUNOR;Asa Norte;SGAN. Q. 05 Lote 23
21;;NUSUL;Asa Sul;Avenida das Nações S/N
