Quadro Pessoal Limpe za Urbana SLU DF;;;;;;
Pessoal SLU;Total 2014;Composição total 2014;Total 2015;Composição total 2015;Diferença;Alteração 2015/2014
Servidores SLU e Comissionados;676;11%;746;13%;70;9%
Trabalhadores do Icep terceirizados;96;2%;43;1%;-53;-123%
Estagiários;25;0%;38;1%;13;34%
Total SLU;797;13%;827;15%;30;4%
Quadro Operacional terceirizado;;;;;;
Garis coleta;1021;17%;963;17%;-58;-6%
Garis varrição;3.333;54%;2.598;46%;-735;-28%
Garis no Tratamento;191;3%;180;3%;-11;-6%
Sub total de Garis;4.545;74%;3.741;66%;-804;-21%
Motoristas;325;5%;446;8%;121;27%
Outros serviços operacionais;453;7%;672;12%;219;33%
Sub total outros;778;13%;1.118;20%;340;30%
Total operacional terceirizados;5.323;87%;4.859;85%;-464;-10%
Total geral;6.120;100%;5.686;100%;-434;-8%
