Servidores;;Atividade - Meio;;Atividade - Fim;;Total
;;Com cargo em comissão;Sem cargo em comissão;Com cargo em comissão;Sem cargo em comissão;
Efetivos (Quadro do GDF);;28;101;38;1.432;1.599
Comissionados (Sem vínculo efetivo);;27;0;1;0;28
Requisitados;Órgãos do GDF;9;0;0;0;9
;Órgãos Estaduais;0;0;1;0;1
;Órgãos do Governo Federal;2;0;0;0;2
Outros;Junta de Controle;-;-;-;-;-
;Estagiários;;38;0;0;38
;Terceirizados (ICEP);;43;0;0;43
Subtotal (Força de Trabalho);;66;81;0;0;81
(-) Cedidos para outros órgãos;;0;0;0;893;893
Total Geral;;66;182;40;539;827
