PESSOAL LIMPEZA URBANA;GARI VARRIÇÃO;GARI COLETA;MOTORISTA*;USINA;PESSOAL DIVERSOS **;PESSOAL ADMINISTRATIVO;TOTAL GERAL
SUSTENTARE (LOTE I) Coleta Convencional e limpeza urbana;1.431;453;136;76;150;50;2.296
VALOR AMBIENTAL (LOTE II) Coleta Convencional e limpeza urbana;611;221;107;104;;;1.146
;;;;;99;4;
VALOR AMBIENTAL (LOTE III) Coleta Convencional e limpeza urbana;556;183;;;;;935
;;;146;-;50;-;
STERICYCLE Resíduos dos Serviços de Saúde;-;17;14;-;4;4;39
CGC CONCESSÕES (LOTE I) Coleta Seletiva;-;41;19;-;3;7;70
VALOR AMBIENTAL (LOTE II) Coleta Seletiva;-;20;10;-;2;-;32
VALOR AMBIENTAL (LOTE IV) Coleta Seletiva;-;28;14;-;2;-;44
TOTAL;2.598;963;446;180;310;65;4.562
