Programa Trabalho;Lei;Alteração;Contingenciado;Bloqueado;Desp. Autorizada;Empenhado;Disponível;Liquidado
Modernização de Sistema de Informação;R$ 1 00.000;R$ 9 00.000;R$ 9 00.000;;R$ -;R$ -;R$ -;R$ -
Gestão da Informação e dos Sistemas de Tecnologia;R$ 1 80.000;R$ 1 80.000;R$ 3 0.001;;R$ 1 49.999;R$ 1 43.866;R$ 6 .133;R$ 1 32.566
Administração de Pessoal;R$ 1 13.951.518;R$ 1 34.449.827;;;R$ 1 34.449.827;R$ 1 34.448.137;R$ 1 .690;R$ 1 34.448.137
Concessão de Benefícios a Servidores;R$ 5 .612.267;R$ 1 3.171.432;;;R$ 1 3.171.432;R$ 1 3.152.284;R$ 1 9.148;R$ 1 3.152.284
Manutenção de Serviços Administrativos Gerais;R$ 5 .015.325;R$ 4 .988.846;R$ 1 10.336;;R$ 4 .878.510;R$ 4 .824.863;R$ 5 3.647;R$ 4 .491.704
Publicidade e Propaganda Institucional;R$ 1 62.000;R$ 2 02.000;;;R$ 2 02.000;R$ 2 02.000;R$ -;R$ 1 61.190
Publicidade e Propaganda Utilidade Pública;R$ 5 00.000;R$ 2 35.067;R$ 7 4.107;;R$ 1 60.960;R$ 1 52.639;R$ 8 .321;R$ 1 52.639
Construção de Unidade de Transbordo;R$ 1 0.000;R$ 1 0.000;R$ 1 0.000;;R$ -;R$ -;R$ -;R$ -
Recuperação das Usinas de Tratamento;R$ 1 0.000;R$ 1 0.000;R$ 1 0.000;;R$ -;R$ -;R$ -;R$ -
Manutenção das Atividades de Limpeza Pública;R$ 1 64.671.195;R$ 3 90.686.814;R$ 3 8.000.117;;R$ 3 52.686.697;R$ 3 52.567.452;R$ 1 19.245;R$ 3 37.188.965
Encerramento e Recuperação do Aterro do Jóquei;R$ 1 0.000;R$ 1 0.000;R$ 1 0.000;;R$ -;R$ -;R$ -;R$ -
Implantação de Ecopontos (Ponto de Entrega Voluntária - PEV);R$ 7 12.455;R$ 2 12.455;R$ 2 12.455;;R$ -;R$ -;R$ -;R$ -
Implantação de Ecopontos (Ponto de Entrega Voluntária - PEV);R$ -;R$ 1 .900.000;;;R$ 1 .900.000;R$ -;R$ 1 .900.000;R$ -
Construção de Centros de Triagem;R$ 4 .172.727;R$ 2 .856.224;R$ 3 34.720;;R$ 2 .521.504;R$ 1 .983.747;R$ 5 37.757;R$ 1 .678.655
Construção de Áreas de Transbordo e Triagem - ATT´s;R$ 6 95.455;R$ 9 56.790;R$ 6 75.577;;R$ 2 81.213;R$ 2 81.213;R$ -;R$ -
Construção de Aterro Sanitário Oeste;R$ 3 3.613.637;R$ 1 .090.640;R$ 1;;R$ 1 .090.639;R$ 1 .090.639;R$ -;R$ 2 40.735
Recuperação Ambiental da Área da Usina de Incineração de Lixo Especial;R$ 1 0.000;R$ 1 .500;R$ 1 .500;;R$ -;R$ -;R$ -;R$ -
Expansão da Coleta Seletiva de Resíduos Recicláveis;R$ 7 .579.503;R$ 7 .579.503;;;R$ 7 .579.503;R$ 7 .579.503;R$ -;R$ 7 .579.503
Execução de Sentenças Judiciais;R$ 2 61.252;R$ 3 91.832;;;R$ 3 91.832;R$ 3 69.220;R$ 2 2.612;R$ 3 69.220
Formação do Patrimônio do Servidor Público;R$ 4 .560.000;R$ 5 .132.230;;;R$ 5 .132.230;R$ 5 .132.230;R$ -;R$ 4 .484.190
Ressarcimentos, Indenizações e restituições;R$ 4 .284.663;R$ 4 .825.153;R$ 1 1.507;;R$ 4 .813.646;R$ 4 .777.354;R$ 3 6.292;R$ 4 .206.316
TOTAL;R$ 3 46.111.997;R$ 5 69.790.313;R$ 4 0.380.321;R$ -;R$ 5 29.409.992;R$ 5 26.705.146;R$ 2 .704.846;R$ 5 08.286.104
