Nº;REGIÃO ADMINISTRATIVA;ENDEREÇO;ÁREA TOTAL (m²);ÁREA CONSTRUÍDA (m²);UNIDADE OCUPANTE;SITUAÇÃO
1;Brasília;Setor de Áreas Isoladas Sul, Lote 05 Saída Sul – Asa Sul;116.469;9.737;NUSUL;REGULARIZADO
2;Brasília;SGO Quadra 05, Lote 23, Saída Norte – Asa Norte;50.000;4.150;NUNOR;REGULARIZADO
3;Taguatinga;Área Especial nº 09, Setor QNG;7.200;766;NUTAG;REGULARIZADO
4;Ceilândia;Área Especial nº24, módulo “G” a “K”;25.000;533;NUCEI;REGULARIZADO
5;Gama;Setor Leste, Área Reservada 01;4.800;306;;REGULARIZADO
6;Gama;Lote 02, Áreas Isoladas as Margens da Av. Contorno;80.000;-----;NUGAM;REGULARIZADO
7;Brazlândia;S. Norte, Área Especial 02 Lotes I, I1, J, J1, K, K1, L, L1;12.000;277;NUBRA;REGULARIZADO
8;Núcleo Bandeirante;Avenida do Contorno A.E 06 Lote K;1.543;-----;542 m² Cedidos à Secretaria de Estado da Criança;REGULARIZADO
9;Planaltina;Área Especial, Lote 02;10.789;263;NUPLA;REGULARIZADO
10;Sobradinho;Área Especial para indústria nº02, Lotes 04 à 06;30.000;721;NUSOB;REGULARIZADO
11;Águas Claras;Av. Jacarandá, Lote 24;6.931;-----;DESOCUPADO;REGULARIZADO
TOTAL (m²);;;344.733;16.754;;
