Data;;;;;;Hora do fechamento;;;Hora de abertura;;;;Tempo total fechado;
;;;;;;;;;;;;;(H);
Janeiro;;;;6;;;8:00;;;9:30;;;1:30;
;;;;14;;;7:00;;;7:50;;;0:50;
;;;;20;;;11:00;;;13:00;;;2:00;
Fevereiro;;;;5;;;10:00;;;11:30;;;1:30;
;;;;10;;;14:00;;;15:50;;;1:50;
;;;;25;;;9:00;;;10:40;;;1:40;
Março;;;;11;;;8:00;;;9:20;;;1:20;
;;;;16;;;8:00;;;10:00;;;2:00;
;;;;26;;;8:30;;;12:00;;;3:30;
;;;;26;;;15:00;;;15:40;;;0:40;
;Abril;;;SEM PARALISAÇÕES;;;;;;;;;;
Maio;;;;23;;;12:40;;;24:00;;;11:20;
;;;;24;;;0:00;;;12:00;;;12:00;
;;;;25;;;8:00;;;24:00;;;16:00;
;;;;26;;;0:00;;;0:00;;;24:00;
