;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL POR SERVIÇO;PERCENTUAL
Varrição manual d e vias;10.502.515;9 .305.506;10.525.793;9 .699.328;10.640.260;10.702.542;11.600.700;11.070.805;10.634.322;11.088.784;9 .604.445;10.443.046;125.818.047;50%
Coleta convencional de RSU;6 .128.542;5 .422.418;6 .088.469;5 .883.299;6 .002.025;5 .768.143;6 .006.535;5 .810.886;6 .035.257;6 .176.935;6 .181.027;7 .223.620;7 2.727.157;29%
Coleta mecanizada de entulhos;768.143;980.570;1 .417.710;1 .386.912;1 .580.429;1 .617.825;1 .817.540;1 .981.790;2 .162.865;2 .107.881;1 .925.209;1 .903.029;1 9.649.903;8%
Operação do Aterro Controlado do Jóquei;1 .496.304;1 .345.262;1 .434.190;1 .251.668;1 .507.085;1 .409.441;1 .367.232;1 .335.231;1 .414.702;1 .628.385;1 .651.485;1 .917.243;1 7.758.229;7%
Operação da usina NUSIC;758.639;681.400;855.407;739.788;1 .013.336;806.776;707.008;703.135;759.676;868.815;802.620;843.027;9.539.627;4%
Coleta de resíduos de saúde;274.080;258.874;300.620;324.804;334.471;311.399;333.494;320.335;295.688;263.298;257.808;271.615;3.546.487;1,4%
Operação da usina NUSIS;5 .123;-;-;4 9.401;8 8.603;8 4.162;8 6.753;8 7.098;223.154;279.619;287.665;288.872;1.480.451;1%
Varrição mecanizada de vias;1 3.731;6 2.663;125.679;115.369;8 8.031;107.468;9 7.032;113.963;140.695;5 6.483;183.514;181.958;1.286.585;0,51%
Coleta manual de entulhos;4 3.624;5 4.330;5 7.565;6 1.192;7 1.041;8 6.229;145.346;9 3.344;9 9.138;102.633;7 5.785;1 64;8 90.392;0,35%
TOTAL MENSAL;19.990.702;18.111.023;20.805.433;19.511.762;21.325.282;20.893.988;22.161.639;21.516.587;21.765.497;22.572.833;20.969.558;23.072.575;252.696.878;100%
