;;Administrador da Cidade Sr. Eduardo Rodrigues da Silva Lideranças Comunitárias;;;
18;25/06;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administrador da Cidade Sr. Leandro Casarin Dalmas Lideranças Comunitárias;Administração do Varjão RA-XXIII;20;Auditório da Administração Regional
19;03/07;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Renato Santana Lideranças Comunitárias AGEFIS;Administração do Riacho Fundo RA- XVII;20;Auditório da Administração Regional
20;03/07;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Fábio Viana Àvila Lideranças Comunitárias AGEFIS;Administração do Recanto das Emas RA-XV;11;Auditório da Administração Regional
21;09/07;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administrador da Cidade Sr.Jean Duarte de Carvalho Lideranças Comunitárias AGEFIS;Administração de São SebastiãoRA- XIV;22;Auditório da Administração Regional
22;13/08;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administrador da Cidade Sr.Vilson José de Oliveira Lideranças Comunitárias;Administração da Ceilândia RA-IX;50;Auditório da Administração Regional
23;13/08;Equipe SLU (Diretor Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr.Evanildo da Silva Macedo Lideranças Comunitárias AGEFIS;Administração da Estrutural/SCIA RA-XXV;25;Auditório da Administração Regional
24;10/09;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Eduardo Rodrigues da Silva Lideranças Comunitárias AGEFIS;Administração de Itapoã RA-XXVIII;32;Auditório da Administração Regional
25;08/10;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Paulo Henrique Ramos Lideranças Comunitárias AGEFIS;Administração do Cruzeiro RA-XI;24;Auditório da Administração Regional
26;08/10;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Paulo Henrique Ramos Lideranças Comunitárias AGEFIS;Administração Sudoeste/Octogona l RA-XXII;24;Auditório da Administração Regional
27;20/11;Equipe SLU (Diretora Geral,;Administração do;22;Auditório da
