;Parceria;Objeto
1;ABES;Pesquisa e publicação de matéria jornalística sobre a história do Lixão da Estrutural
2;ABRAMPA;Organização de seminário sobre resíduos sólidos
3;Associações de Moradores das 31 RA;Participação em processo de discussão local sobre os dias e horários das coletas convencional e seletiva e apoio na identificação de áreas para a instalação de PEV
4;ASSEMAE;Apoio logístico para a realização de atividades de capacitação e do Planejamento Estratégico
5;Blocos BICICOBLOCOe Vai quem Fica;Fizeram campanhas educativas durante o carnaval incentivando os foliões a manterem a cidade limpa e usaremas lixeiras
6;BRB;Capacitação em Educação financeira aos servidores do SLU e adesão à Campanha Brasília Limpa: Sua atitude faz a diferença
7;Catadores de Materiais Recicláveis;Constituição de processo de discussão para aperfeiçoamento da coleta seletiva e do processamento do material coletado
8;Consórcio GAE/ Construban/DBO;Liberação de instrutora para ministrar curso de capacitação no SLU
9;Cultura Inglesa, Aliança Francesa e Instituto Cervantes;Ofertas de bolsas de cursos de línguas para servidores do SLU conseguidas por meio das Relações Internacionais do DF com a Cultura Inglesa, Aliança Francesa, Instituto Cervantes.
10;MMA;Implantação da Agenda Ambiental na Administração Pública - A3P no SLU por meio de convênio
11;Ocupe o lago/ GLOBAL SHAPERS;Limpeza do Lago Paranoá com ambientalistas e esportistas na campanha: Ocupe o Lago
