Nº;Desafio
1;Lixão do Jóquei
2;Estrutura organizacional e ferramentas de gestão inadequadas
3;Inadequação dos recursos humanos aos desafios do SLU
4;Alto custo operacional
5;Ineficiência na prestação de contas e controle dos serviços
6;Inadequação do sistema de cobrança
7;Conflito de competência e desarticulação institucional
8;Problema na Destinação ambiental inadequada dos resíduos sólidos
9;Catadores - IRR - Destinação ambientalmente inadequada dos resíduos sólidos
10;Consórcio - Destinação ambientalmente inadequada dos resíduos sólidos
11;Ausência de participação social
12;Condições indignas de trabalho
13;Necessidade de financiamento
