Região Administrativa;;População Total;;;;;Região Administrativa;;População Total;;;
;;2010;;;2015;;;;2010;;;2015
Águas Claras;102.076;;;138.562;;;Abadiânia;15.757;;;18.069;
Brasília;208.666;;;210.067;;;Água Fria de Goiás;5.090;;;5.507;
Brazlândia;57.542;;;51.816;;;Águas Lindas de Goiás;159.378;;;187.072;
Candangolândia;15.924;;;15.641;;;Alexânia;23.814;;;26.135;
Ceilândia;402.729;;;479.713;;;Cabeceiras;7.354;;;7.829;
Cruzeiro;31.379;;;29.535;;;Cidade Ocidental;55.915;;;64.229;
Fercal;-;;;8.288;;;Cocalzinho de Goiás;17.407;;;19.115;
Gama;136.063;;;134.111;;;Corumbá de Goiás;10.361;;;10.961;
Guará;107.226;;;133.171;;;Cristalina;46.580;;;53.300;
Itapoã;51.501;;;67.238;;;Formosa;100.085;;;112.236;
Jardim Botânico;23.124;;;26.882;;;Luziânia;174.531;;;194.039;
Lago Norte;32.903;;;36.394;;;Mimoso de Goiás;2.685;;;2.715;
Lago Sul;29.537;;;28.981;;;Novo Gama;95.018;;;106.677;
Núcleo Bandeirante;22.810;;;23.562;;;Padre Bernardo;27.671;;;31.129;
Paranoá;43.870;;;44.975;;;Pirenópolis;23.006;;;24.444;
Park Way;20.955;;;19.803;;;Planaltina;81.649;;;87.474;
Planaltina;171.303;;;190.495;;;Santo Antônio do Descoberto;63.248;;;69.988;
Recanto das Emas;122.279;;;146.906;;;Valparaíso de Goiás;132.982;;;153.255;
Riacho Fundo;35.545;;;40.098;;;Vila Boa;4.735;;;5.615;
Riacho Fundo II;36.309;;;51.709;;;;;;;;
Samambaia;199.533;;;258.457;;;;;;;;
Santa Maria;118.782;;;125.559;;;;;;;;
São Sebastião;87.283;;;99.525;;;;;;;;
SCIA - Estrutural;30.388;;;38.429;;;;;;;;
SIA;2.488;;;1.990;;;;;;;;
Sobradinho;60.209;;;62.763;;;;;;;;
Sobradinho II;98.409;;;100.683;;;;;;;;
Sudoeste/Octogonal;49.696;;;52.990;;;;;;;;
Taguatinga;199.715;;;207.045;;;;;;;;
Varjão;8.724;;;8.453;;;;;;;;
Vicente Pires;63.192;;;72.733;;;;;;;;
Total Distrito Federal;2.570.160;;;2.906.574;;;Total Municípios GO;1.047.266;;;1.179.789;
TOTAL RIDE 2015;;;;;;;4.086.363;;;;;
