;Atividade;Unidade;Ano 2014;Ano 2015;Ano 2016;Compara ção 2016/ 2015 (%)
1;Coleta dos resíduos domiciliares e comerciais;T;844.186;843.217;818.771;- 2,90
2;Coleta, tratamento e destinação dos resíduos de serviços de saúde;T;2.800;2.466;2.217;- 10,10
3;Coleta dos resíduos de remoção (coleta corretiva);T;741.750;706.855;772.268;+ 9,25
4;Varrição manual de vias e logradouros públicos;Km;1.324.175;1.345.889;1.250.559;- 7,08
5;Varrição mecânica de vias e logradouros públicos;Km;34.741;25.539;46.723;+ 82,95
6;Pintura de meios-fios;Km;8.159;4.237;5.349;+ 26,24
7;Lavagem de abrigos de passageiros e passagens de pedestres;U;119.071;65.311;42.791;- 34,48
8;Catação de resíduos;Ha;190.573;143.878;150.975;+ 4,93
9;Resíduos processados em usinas de tratamento;T;220.456;209.121;229.054;+ 9,53
10;Resíduos domiciliares aterrados;T;856.571;887.220;830.055;- 6,44
11;Coleta de animais mortos;U;4.481;2.952;3.281;+ 11,14
12;Coleta seletiva;T;48.586;57.496;48.673;- 15,35
13;Transferência de resíduos;T x Km;14.081.692;14.773.167;14.782.791;+0,03
