EQUIP AMENTOS LIMPEZA URBANA;CARRO DE APOIO/FISCALIZAÇÃO;CAMINHÃO COMPACTADOR;CAMINHÃO GAIOLA;CAMINHÃO BAÚ;CAMINHÃO ROLL-ON;CAÇAMBA TOCO;CAÇAMBA TRUCADA;CAVALO MECÂNICO E CARRETAS;REBOQUE;CAMINHÃO MUNCK *;CAMINHÃO PIPA;PÁ MECÂNICA;EMPILHA DEIRA;VARRE DEIRA;MOTO COM CARRETINHA ***;MÁQUINA DE PINTURA MEIO FIO ***;ÔNIBUS**;TOTAL
SUSTEN TARE (LOTE I) Coleta Conve ncional e limpeza urbana;7;77;0;0;0;5;22;0;0;1;3;4;0;1;0;0;30;150
VALOR AMBIENTAL (LOTE II) Cole ta Convencional e limpeza urbana;9;49;0;5;0;16;20;0;0;1;2;6;0;1;1;2;8;120
VALOR AMBIENTAL (LOTE III) Cole ta Convencional e li mpeza urbana;5;24;0;8;0;4;20;28;0;1;2;8;0;1;0;0;11;112
VALOR AMBIENTAL (LOTE IV) Coleta Seletiva;0;13;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;13
STERI CYCLE Resíduos dos Se rviços de Saúde;2;0;0;8;2;0;0;0;2;0;0;0;0;0;0;0;0;14
Cooperativa de Catadores de Materiais Recicláveis - RENASCER;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Assoc.dos Catadores e Recicladores de Resíduos Sólidos-ACOBRAZ;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Cooperativas de Catadores do DF - RECICLE A VIDA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Cooperativa de Catadores de Santa Maria - R3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOTAL;23;163;1;24;2;25;62;28;2;3;7;18;0;3;1;2;49;413
