N º;Contrato;Empresa;Data de assinatura/início da;Objeto;Data do término da;Valor (R$);Executores e Suplentes;OBS
1;22/2010;AR (condomínio);17.09.2010;Aluguel da sede - 6º andar;17.09.2020;MENSAL: R$ 103.848,71 ANUAL: R$ 1.246.184,52;Lucrécia de Carvalho Silva;Vigente
2;11/2011;CLARO;30.09.2011;Acesso móvel à internet (modem 4G);29.09.2016;MENSAL: R$ 21.096,00 ANUAL: 46.994,40;Roger Fragoso Souza/Leandro Henrique Antunes de Carvalho;Encerrado
3;19/2012;AVISO URGENTE - CLIPPING E SOFTWARES LTDA;31.08.2012;Leitura eletrônica dos Diários Oficiais;30.08.2016;MENSAL: R$ 51,55 ANUAL: R$ 618,60;Rita Alves de Barros/ Paulo Teixeira de Abreu;Encerrado
4;01/2014;AUTO POSTO MILLENNIUM;16.01.2014;Abastecimento de veículos;15.01.2017;MENSAL: R$ 46.488,00 ANUAL: R$ 557.856,00;Gisélia Araújo dos Santos/ Maria de Jesus Silva/ Maria Aguiar Rodrigues;Vigente
5;08/2014;AGENCIA PLÁ;21.05.2014;Serviços de publicidade;21.05.2017;ANUAL: R$ 1.246.072,50;Avelange P. Durães/Márcio Gondinho Oliveira/Patrícia K.K. Vieira/vinicios andrade;Vigente
6;03/2015;CAESB;27.01.2015;Abastecimento de água potável;27.01.2017;ANUAL: R$ 187.500,00;Horaci Moreira Jorge/ Francisco Antônio Otaviano;Vigente
7;02/2015;CEB;27.01.2015;Fornecimento de energia elétrica;27.01.2017;ANUAL: R$ 250.000,00;Horaci Moreira Jorge/ Francisco Antônio Otaviano;Vigente
8;17/2014;TELEFONICA BRASIL;06.10.2014;TELEFONIA MÓVEL PESSOAL;06.10.2016;MENSAL: R$ 12.749,80 ANUAL: R$ 152.997,508;Roger f. Souza/Delano H. de S. Thome;Encerrado
9;18/2014;CONNECTA;13.10.2014;Locação de veículos;06.10.2017;MENSAL: R$ 36.974,84 ANUAL: R$ 443.698,08;Maria de Jesus da Silva/Lucrécia de Carvalho Silva;Vigente
1 0;NOTA DE EMPENH O;CORREIO BRAZILIENSE;22.02.2015;Fornecimento de 2 exemplares diários do Correio Braziliense;22.02.2016;ANUAL: R$ 1.261,98;Bruno Marques Pereira/ Patrícia Kelly Kavamoto;Encerrado
11;09/2014;ECT;27.05.2014;Prestação de serviços;27.05.2017;MENSAL: R$ 1.500,00 ANUAL: R$ 18.000,00;Horaci Moreira Jorge / Paulo Sérgio Ribeiro;Vigente
12;10/2015;GESTEMAQ;14.10.2015;Manutenção de 25 aparelhos de ar condicionado;14.10.2017;MENSAL: R$ 4.249,01 ANUAL: R$ 50.988,12;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Vigente
13;04/2013;GESTEMAQ;25.04.2013;Manutenção do ar condicionado;25.04.2017;MENSAL: R$ 2.869,60 ANUAL: R$ 34.435,20;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Vigente
1 4;01/2015;OI S.A.;02.02.2015;Chamadas locais de telefonia fixo móvel;18.03.2017;ANUAL: R$ 187.075,15;Roger Fragoso Souza/Delano Henrique Sousa Thomé;Vigente
