Nº;Contrato;Empresa;Data de assinatura/início da vigência;Objeto;Término da vigência;Valor (R$);Executores e Suplentes;OBS
1;21/2012;DEFENDER CONSERVAÇÃO E LIMPEZA;01.12.2012;Fiscalização de piso Aterro Controlado do Joquei;31.11.2017;MENSAL: R$ 320.134,40 TOTAL: R$ 3.841.612,80;Jellington Henrique de Azevedo/João Alves Tavares/João Eudes dos Santos;Vigente
2;06/2015;VALOR AMBIENTAL LTDA. (EMERGENCIAL);01.07.2015;Coleta de residuos sólidos;01.01.2016;MENSAL: R$ 6.808.819,09 ANUAL: R$ 40.852.908,54;Osvaldo Pereira/Carlos H. Silva/Almir Batista Moura;Encerrado
3;09/2015;FRAL CONSULTORIA;05.10.2015;Fiscalização e supervisão da implantação da Fase I do Aterro Sanitário de Brasília;06.01.2017;TOTAL: R$ 323.980,00;Edmundo Gadelha/Thiago Faquineli/Francisca S. Freire Dutra;Encerrado
4;12/2015;VALOR AMBIENTAL LTDA. (EMERGENCIAL);02.01.2016;Coleta de residuos sólidos;29.06.2016;MENSAL: R$ 6.932.233,01 ANUAL: R$ 41.593.398,06;João Eudes dos Santos/Carlos H. Silva/Almir Batista Moura;Encerrado
5;15/2014;GAE/DBO/CONSTRUBAN;10.09.2014;Implantação e Manuteção do Aterro Sanitário de Brasília;10.09.2019;TOTAL: R$ 92.216.688,94;Edmundo Gadelha/Thiago Faquineli/Jellington Azevedo/Francisca Freire Dutra;Vigente
6;10/2012;STERICYCLE GESTÃO AMBIENTAL LTDA.;16.06.2012;Coleta de residuos dos serviços de saúde;15.06.2017;MENSAL: R$ 579.331,50 ANUAL: R$ 6.651.978,00;Antonio Machado/Maria Angélica Amorim/Manoel Messias/Josivan Souza;Vigente
7;12/2012;SUSTENTARE SANEAMENTO S/A;23.06.2012;Coleta de residuos sólidos;22.10.2017;MENSAL: R$ 16.298.415,30 ANUAL: R$ 195.580.983,60;Daniel Pereira Rocha/Ailton Oliveira Rocha/Sandra Cordeiro/José Augusto Alves;Vigente
8;13/2012;VALOR AMBIENTAL LTDA.;22.06.2012;Coleta de residuos sólidos;22.10.2017;MENSAL: R$ 7.297.192,65 ANUAL: R$ 87.566.311,80;Francisco Alves Morais/Raimundo Manoel da Silva/Paulo Guilherme dos Santos;Vigente
9;07/2012;VALOR AMBIENTAL LTDA.;15.06.2012;Manutenção Aterro Controlado do Joquei;14.06.2017;MENSAL: R$ 1.596.000,00 ANUAL: R$ 19.152.000,00;Jellington Henrique de Azevedo/João Alves Tavares/João Eudes dos Santos;Vigente
10;09/2016;VALOR AMBIENTAL LTDA.;30.06.2016;Coleta de residuos sólidos;30.04.2017;MENSAL: R$ 8.063.593,45 ANUAL: R$ 80.635.934,50;David de Brito Peixoto/Carlos Dias Araujo/Geraldo Ferreira da Fonseca/Ailton Oliveira Rocha;Vigente
