;Brasília;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Instituição;;;Qualificação;;;Endereço;;;Representante;;;Contato;;;E-mail;;;Nº Total Catadores declarados;;;Nº Catador es;;
1;;;APCORB;;;Cooperativa;;;;Usina do SLU/NUIREL SUL - L4;;Marcos;;;98641-0582/99945-3555;;;renoveapcorb@gmail.com;;;120;;;;;
;;;;APCORB;;;;;;SUL;;;;;;;;;;;;;;;;
2;;;;RECICLA;;Associação;;;SGON Q. 05 Lote 23 DL NORTE;;;Roque;;;99917-2501/ 98562-8447;;;roquecarmenlucia@gmail.com;;;63;;;63;;
;;;;BRASÍLIA;;;;;;;;;;;;99917-2501/ 98562-8447;;;;;;;;;;
3;;;ACAPAS;;;Associação;;;SGON Q. 05 Lote 23 DL NORTE;;;Luzia;;;;99679-2406/ 99679-2405/;;elianeborguis28@gmail.com;;;68;;;68;;
;;;;;;;;;;SGON Q. 05 Lote 23 DL NORTE;;;;;;99639-8101;;;;;;;;;;
4;;;ACOPLANO;;;Associação;;;;Chácara 27 próximo Gar. Senado;;Socorro;;;98667-9448/ 99165-5775;;;Não possui e-mail para contato;;;20;;;;;
;;;;;;;;;;Brasília;;;;;;98667-9448/ 99165-5775;;;;;;;;;;
5;;;AGEPLAN;;;Associação;;;UnB próximo a prefeitura;;;Francisco;;;;98170-5587/ 99314-7521/;;ageplan2@hotmail.com;;;30;;;;;
;;;;;;;;;;;;;;;;98453-5472;;;;;;;;;;
6;;;CRV;;;Cooperativa;;;Q. 02 CNPJ. D Varjão;;;Ana Carla;;;;99280-5328/ 99136-6686 /;;carla123orges@gmail.com;;;27;;;16;;
;;;;;;;;;;;;;;;;99314-9130;;;;;;;;;;
7;;;COOPERE;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Adriana;;;;98647-8330/ 99636-3498/;;cooperativacoopere@gmail.com;;;140;;;34;;
;;;;;;;;;;;;;;;;98593-8796/ 99987-1399;;;;;;;;;;
8;;;AMBIENTE;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Cláudia;;;;3465-5428/ 99167-5670/;;ambienteestrutural@gmail.com;;;1200;;;61;;
;;;;;;;;;;;;;;;;98484-6882/ 99919-3988;;;;;;;;;;
9;;;PLASFERRO*;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Ednaldo;;;98571-0538/ 99141-8678;;;"ednaldojales@gmail.com; plasferro@gmail.com";;;60;;;15;;
;;;;;;;;;;;;;;;;98571-0538/ 99141-8678;;;;;;;;;;
10;;;COORACE;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Lúcia;;;;98193-9174/ 98142-0067/;;luciaprescoorace@gmail.com;;;382;;;29;;
;;;;;;;;;;;;;;;;98480-2330/ 98552-4787;;;;;;;;;;
11;;;CONSTRUIR;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Conceição;;;;98435-2878/ 98444-5635/;;britocatadoresdf@yahoo.com.br;;;70;;;59;;
;11;;;CONSTRUIR;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Conceição;;;99697-7173/ 99527-9529;;;britocatadoresdf@yahoo.com.br;;;70;;;59;
;12;;;COOPERNOES;;;Cooperativa;;;Estrutural - Aterro do Jóquei;;;Alex;;;98549-9245/ 98154-1768;;;alexcooperado@gmail.com;;;200;;;24;
13;;;COOPATIVA;;;Cooperativa;;;;S.I. A Trecho 17 via I 4 lt;;Edson;;;99248-6050/ 99157-5999;;;Não possui e-mail para contato;;;35;;;;;
;;;;;;;;;;1660/1700;;;;;;99248-6050/ 99157-5999;;;;;;;;;;
14;;;COORTRAP;;;Cooperativa;;;;SCIA Q. 09 Cj. 01 Lote 02 Cid. do;;Jeanilson;;;;99652-7783/ 99331-7561/;;Não possui e-mail para contato;;;49;;;;;
;;;;;;;;;;Automóvel;;;;;;99989-3845;;;;;;;;;;
15;;;RENASCER;;;Cooperativa;;;Cortrap e Torre Digital;;;Fátima;;;;99174-4302/ 99345-8579;;fatima33martins@gmail.com;;;28;;;28;;
;;;;;;;;;;Cortrap e Torre Digital;;;;;;(Fátima);;;;;;;;;;
16;;;ARCAN;;;Associação;;;;QR AO Cj. VC AE-atrás C. Bomb.;;Moises;;;3301-8681/ 99181-9594;;;camilamendesfla6@gmail.com;;;22;;;;;
;;;;;;;;;;Candangolândia;;;;;;;;;;;;;;;;
17;;;SONHO DE LIBERDADE*;;;Cooperativa;;;Estrutural ao lado da Capital e Cortrap;;;Fernando;;;99693-6465;;;sonhodeliberdade2014@hotmail.co m;;;30;;;;;
;;;;;;;;;;Estrutural ao lado da Capital e;;;;;;;;;;;;;;;;
;;;;;;;;;;Cortrap;;;;;;;;;;;;;;;;
18;;;COPERCOCO**;;;Cooperativa;;;;SCLN 214, BL A LJ 32/34 ASA;;Zé Roberto;;;98592-0455;;;copercocobsb@yahoo.com.br;;;49;;;;;
;18;;;COPERCOCO**;;;Cooperativa;;;NORTE;;;Zé Roberto;;;98592-0455;;;copercocobsb@yahoo.com.br;;;49;;;;
;19;;;Flor do Cerrado;;;Cooperativa;;;SMIN Qd. 01 Lote 28 Lago Norte;;;Marcos;;;99596-2904;;;Não possui e-mail para contato;;;68;;;;
;São Sebastião;;;;;;;;;;;;;;;;;;;;;;;;;
;20;;;Ecolimpo;;;Cooperativa;;;ADE Pro-DF Conj. 01 Lote 09;;;Santana;;;98573-0401;;;ecovidareciclaveis@gmail.com;;;20;;;;
