;;;Nº DE AÇÕES;;;PARTICIPANTES;;
;ATIVIDADES REALIZADAS 2016;;;;;;;
;Palestras;;;38;;;2.399;
;Contação de história;;;13;;;2.047;
;Teatro e mamulengo;;;3;;;1.300;
;Visitas aterros (ACJ e ASB);;;22;;;567;
;Vistas usina/ Museu da Limpeza Urbana;;;17;;;330;
;Carnaval;;;4;;;600;
;II Corrida do “Gari mais veloz de Brasília”;;;1;;;398;
;Escola da Guariroba;;;3;;;640;
;Capacitação de cooperativas;;;1;;;40;
;Reunião comunitária Samambaia (ASB);;;1;;;73;
;Reuniões comunitárias nas RA;;;4;;;200;
;Olimpíadas programa de voluntariado para a coleta seletiva;;;1;;;1214;
;Curso hortas urbanas e manejo dos resíduos sólidos;;;1;;;25;
Parceria Segeth “Projeto Qualifeira”;;;2;;;72;;
;Parceria SEE- DF “capacitação dos professores”;;;1;;;29;
;Exposição “catadores de história”;;;1;;;300;
;Parceria Secult “projeto rock ecologia trilha ecológica”;;;1;;;100;
;Expocon;;;1;;;100;
;13ª Semana Nacional de Ciência e Tecnologia (SNCT);;;1;;;700;
;I encontro de educação integral;;;1;;;60;
;Exposição de educação ambiental STJ-DF;;;1;;;100;
;“Água da chuva: é pro lago que eu vou, quero ir limpinha”:;;;1;;;29;
;“Saneamento nas escolas: nós fazemos”;;;1;;;24;
;TOTAL;;;128;;;11.357;
