Atividade;Unidade;Ano 2015;Ano 2016;Ano 2017;Comparativo 2017/2016 (%)
Coleta convencional dos resíduos sólidos domiciliares e comerciais;t;843.217;818.771;829.229;+ 1,27
Coleta, tratamento e destinação dos resíduos sólidos de serviços de saúde;t;2.466;2.217;2.165;- 2,35
Coleta dos resíduos sólidos de remoção (coleta corretiva) (manual + mecanizada);t;706.855;772.268;636.005;- 17,64
Varrição manual de vias e logradouros públicos;Km;1.345.889;1.250.559;1.284.173;+ 2,69
Varrição mecânica de vias e logradouros públicos;Km;25.539;46.723;41.288;- 11,63
Pintura de meios-fios;Km;4.237;5.349;8.127;+ 51,93
Lavagem de abrigos de passageiros e passagens de pedestres;unid.;65.311;42.791;71.235;+ 66,47
Catação de resíduos sólidos;Ha;143.878;150.975;187.268;+ 24,04
Resíduos sólidos processados em usinas de tratamento;t;209.121;229.054;233.595;+ 1,98
Resíduos sólidos domiciliares aterrados;t;887.220;830.055;810.339;- 2,38
Coleta de animais mortos;unid.;2.952;3.281;2.920;- 11,00
Coleta seletiva;t;57.496;48.673;29.970;- 38,43
Transferência de resíduos sólidos;t x Km;14.773.167;14.782.791;17.004.130;+ 15,03
