FORÇA DE TRABALHO;;;;;;
SERVIDORES;;ATIVIDADE - MEIO;;ATIVIDADE - FIM;;TOTAL
;;COM CARGO EM COMISSÃO;SEM CARGO EM COMISSÃO;COM CARGO EM COMISSÃO;SEM CARGO EM COMISSÃO;
Efetivos (Quadro do GDF);;21;85;16;1.183;1.305
Comissionados (Sem vínculo efetivo);;34;0;16;0;50
REQUISITADOS;Órgãos do GDF;12;0;0;0;12
;Órgãos Estaduais;0;0;0;0;0
;Órgãos do Governo Federal;2;0;1;0;3
OUTROS;Junta de Controle;0;0;0;0;0
;Menor Aprendiz/Jovem Candango;0;1;0;0;1
;Estagiários;0;54;0;0;54
;Terceirizados (Comissão Jovem);0;50;0;0;50
Subtotal (Força de Trabalho);;69;190;33;1.183;1.475
(-) Cedidos para outros órgãos;;0;0;0;578;578
TOTAL GERAL SLU;;69;190;33;605;897
