PESSOAL LIMPEZA URBANA;GARI VARRIÇÃO;GARI CATAÇÃO;GARI COLETA;MOTORISTA* COLETA;MOTORISTAS DIVERSOS;PESSOAL DIVERSOS;PESSOAL OPERACIONAL;PESSOAL ADMINISTRATI VO;OUTROS;TOTAL
SUSTENTARE (LOTE I) Coleta Convencional e limpeza urbana;1.026;-;280;97;-;242;125;3;-;1.773
VALOR AMBIENTAL (LOTE II) Coleta Convencional e limpeza urbana;482;225;175;56;54;-;37;9;36;1.074
VALOR AMBIENTAL (LOTE III) Coleta Convencional e limpeza urbana;300;63;119;38;41;237;36;6;8;848
VALOR AMBIENTAL (LOTE IV) Coleta Seletiva;-;-;44;22;-;-;-;-;-;66
STERICYCLE Resíduos dos Serviços de Saúde;-;-;15;12;-;-;18;7;-;52
Cooperativa de Catadores de Materiais Recicláveis - RENASCER;-;-;3;1;-;-;-;1;-;5
Assoc.dos Catadores e Recicladores de Resíduos Sólidos-ACOBRAZ;-;-;3;1;-;-;-;1;-;5
Cooperativas de Catadores do DF - RECICLE A VIDA;-;-;3;1;-;-;-;1;-;5
Cooperativa de Catadores de Santa Maria - R3;-;-;3;1;-;-;-;1;-;5
TOTAL;1.808;288;645;229;95;479;216;29;44;3.833
