Programa de Trabalho;Lei;Alteração;Contingenciado;Bloqueado;Desp. Autorizada;Empenhado;Disponível;Liquidado
Conservação das Estruturas Físicas de Edificações Públicas;1 00.000,00;7 0.442,00;;;2 9.558,00;2 9.557,49;0 ,51;2 9.557,49
Gestão da Informação e dos Sistemas de Tecnologia;1 80.000,00;;;;1 80.000,00;1 79.999,99;0 ,01;1 62.294,57
Administração de Pessoal;1 23.822.500,00;8 .327.845,00;;;1 15.494.655,00;1 15.489.726,14;4 .928,86;1 15.489.726,14
Concessão de Benefícios a Servidores;1 2.743.190,00;1 .640.000,00;;;1 1.103.190,00;1 1.088.541,34;1 4.648,66;1 1.088.541,34
Publicidade e Propaganda Institucional;2 40.000,00;4 7.457,00;;;1 92.543,00;1 73.805,00;1 8.738,00;1 60.725,00
Publicidade e Propaganda Utilidade Pública;1 80.000,00;6 4.406,00;;;1 15.594,00;1 00.593,70;1 5.000,30;9 0.749,55
Manutenção de Serviços Administrativos Gerais;5 .512.820,00;2 1.387,00;;;5 .491.433,00;5 .442.713,74;4 8.719,26;5 .057.205,43
(EP) Elaboração de Projetos Arquitetônicos e Executivos para a Construção de Pontos de Entrega Voluntária PEV's NO SIA, SCIA, Ceilândia e Asa Sul;1 50.000,00;1 50.000,00;;;-;;-;
Modernização de Sistema de Informação;5 .445.000,00;4 .180.434,00;;;1 .264.566,00;1 .264.184,00;3 82,00;1 .194.105,00
(EP) Recuperação de Unidades Operacionais de Manejo de Resíduos Sólidos;6 74.702,00;;;;6 74.702,00;;6 74.702,00;
Construção de Unidade de Transbordo;5 .000,00;5 .000,00;;;-;;-;
Manutenção das Atividades de Limpeza Pública;2 95.398.715,00;7 8.032.089,00;;;3 73.430.804,00;3 73.096.043,00;3 34.761,00;3 54.391.012,70
Manutenção das Instalações de Recuperação de Resíduos - IRR;1 .605.000,00;7 84.833,00;;;8 20.167,00;6 46.083,04;1 74.083,96;4 37.877,11
Tratamento e Manejo de Resíduos de Saúde;1 .000.000,00;;;;1 .000.000,00;1 68.000,00;8 32.000,00;1 68.000,00
Fechamento do Aterro do Jóquei e Recuperação Ambiental;1 .500.000,00;1 .430.465,00;;;6 9.535,00;6 8.910,06;6 24,94;6 8.910,06
(EPE) Construção de Pontos de Entrega Voluntária - PEV's - Ceilândia;-;2 00.000,00;;;2 00.000,00;;2 00.000,00;
(EPE) Construção de Pontos de Entrega Voluntária - PEV's - Brazlândia;-;2 00.000,00;;;2 00.000,00;;2 00.000,00;
Construção de Pontos de Entrega Voluntária - PEV's;7 72.898,00;5 1.323,00;;;7 21.575,00;;7 21.575,00;
Recuperação de Unidades Operacionais de Manejo de Resíduos Sólidos;5 .000,00;5 .003.920,00;;;5 .008.920,00;2 .213.954,73;2 .794.965,27;1 .663.954,73
Fortalecimento e Modernização Institucional;5 .000,00;5 .000,00;;;-;;-;
Construção de Unidades Operacionais de Manejo de Resíduos Sólidos;5 .000,00;4 .274.058,00;;;4 .279.058,00;2 .216.014,96;2 .063.043,04;1 .486.014,96
Construção de Áreas de Transbordo e Triagem - ATTR;2 9.853,00;2 6.852,00;;;3 .001,00;;3 .001,00;
Construção do Aterro Sanitário Oeste - Samambaia;4 4.569,00;6 72.580,00;;;7 17.149,00;7 10.662,65;6 .486,35;7 10.662,65
Promoção da Educação Ambiental e Ações Sustentáveis;1 .030.000,00;1 .026.598,00;;;3 .402,00;3 .400,00;2 ,00;3 .400,00
Inclusão Produtiva dos Catadores;1 .104.000,00;1 .800.582,00;;;2 .904.582,00;2 .070.603,39;8 33.978,61;1 .961.851,64
Execução de Sentenças Judiciais;2 04.000,00;1 00.000,00;;;3 04.000,00;2 18.950,93;8 5.049,07;2 18.950,93
Formação do Patrimônio do Servidor Público;3 .735.153,00;1 .727.774,00;;;5 .462.927,00;5 .462.927,00;-;4 .780.523,00
Conversão de Licença Prêmio em Pecúnia;1 4.087.256,00;1 2.111.604,00;;;1 .975.652,00;1 .724.666,75;2 50.985,25;1 .724.666,75
Ressarcimentos, Indenizações e restituições;2 .655.000,00;1 .041.309,00;;;1 .613.691,00;1 .610.846,49;2 .844,51;1 .503.732,34
TOTAL;4 72.234.656,00;1 22.995.958,00;-;-;5 33.260.704,00;5 23.980.184,40;9 .280.519,60;5 02.392.461,39
