;Sede;Núcleo;RA;Endereço;Propriedade;Situação;Área total;Área Construída
;;;;;;;m²;m²
1;Administração superior;SEDE SLU;Brasília;SCS – QUADRA 08 – Bloco B50 – 6º Andar - Ed. Venâncio 2000;Particular;Alugado;-;2.149
2;GESUL;NUCLA;Águas Claras;Parque do Areal - Areal;IBRAM;Empréstimo;;
3;;NUBRA;Brazlândia;Área Especial nº 02 Norte;Próprio;Regularizado;25.000;533
4;;NUCEI;Ceilândia;QNN 29 módulo G a K Área Especial;Próprio;Regularizado;25.000;295
5;;NUEST;Cidade Estrutural;AE. Quadra 15, Conj. C1;TERRACAP;Processo Regularização 00111-00016598/2017- 01;7.200;766
6;;NUTAG;Taguatinga;QNG 47 Área Especial 09 Taguatinga;Próprio;Regularizado;7.200;306
7;;NUPLA;Planaltina;A/E Norte LT. 11/12;Próprio;Regularizado;10.789;263
8;;NUSOB;Sobradinho;A/E Indústria 3 LT 04/06;Próprio;Regularizado;30.000;721
9;GEOES;NUSEB;São Sebastião;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;TERRACAP;Processo Regularização 094.000943/2011;-;-
10;;NUGUA;Guará;Área Especial do CAVE- Adm. Regional do Guará;Administração Regional do Guará;Emprestimo;-;-
11;;NUBAN;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2;Administração Regional do Núcleo Bandeirante;Emprestimo;-;-
12;;NUPAR;Paranoá/Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";TERRACAP;Cedido;-;-
13;;NUBSB;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;9.737
14;GELES;NUGAM;Gama;AV. Contorno A/E 2 Setor Norte -Gama;Próprio;Regularizado;80.000;-
15;;NURIF;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 – Ad. Riacho Fundo;Administração Regional do Riacho Fundo I;Emprestimo;-;-
16;;NUSAM;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;Administração Regional de Samambaia;Empréstimo;-;-
17;;NUMAR;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";Administração Regional de Santa Maria;Empréstimo;-;-
18;Terreno;NUALM/NUPAT;Brasília;Setor de Áreas isoladas norte (SAI/NORTE);Próprio;Regularizado;50.000;4.150
19;;Terreno;Núcleo Bandeirante;Área Especial n° 06 do Setor Avenida Contorno do Núcleo Bandeirante-DF (Desocupado - 542 m2 cedidos à SECRIAANÇA);Próprio;Regularizado;1.543;-
20;;Terreno;Águas Claras;Lote 24, Avenida jacarandá;Próprio;Regularizado;6.931;-
21;;Terreno;Gama;Área Reservada n° 01 Setor Leste Gama – DISTRITO FEDERAL (Desocupado);Próprio;Regularizado;4.800;-
22;;Terreno;Samambaia;QS 427, Área Especial Lote04, Expansão da Samambaia (O terreno da Samambaia já foi transferido da Secretária de obras para Seduma);-;Processo Regularização;7.727;-
