Serviço;Indicador;Fórmula;;;Resultado;Meta 2017
Coleta convencional;Taxa de disposição final em aterro sanitário;;Somatório dos resíduos;;31%*;100%
;;;sólidos aterrados em;;;
;;;aterro sanitário /;;;
;;;Total dos resíduos sólidos;;;
;;;aterrados x 100;;;
Coleta seletiva;Taxa de domicílios com coleta seletiva regular;Somatório dos domicílios cobertos pela coleta seletiva / Total domicílios do DF x 100;;;49%;60%**
Serviços de reciclagem e recuperação;Taxa de resíduos sólidos reciclados e recuperados;;Somatório do material;;10,72%;11%
;;;reciclado triado +;;;
;;;somatório do composto;;;
;;;orgânico produzido /;;;
;;;Total dos resíduos sólidos;;;
;;;domiciliares coletados x;;;
;;;100;;;
