;Instituição;Qualificação;Endereço;Representante;Contato;email;Nº Catadores
1;APCORB;Cooperativa;Usina do SLU/NUIREL SUL - L4 SUL;Marcos/ Alessandra;98641-0582;renoveapcorb@gmail.com;120
2;RECICLA BRASÍLIA;Associação;SGON Q. 05 Lote 23 DL NORTE;Roque;99917-2501;roquecarmenlucia@gmail.com;63
3;ACAPAS;Associação;SGON Q. 05 Lote 23 DL NORTE;Luzia;99679-2406;elianeborguis28@gmail.com;68
4;ACOPLANO;Associação;Chácara 27 próximo Gar. Senado Brasília;Socorro;98667-9448;não possui e-mail para contato;20
5;AGEPLAN;Associação;UnB próximo a prefeitura;Francisco;98170-5587;ageplan2@hotmail.com;30
6;CRV;Cooperativa;Q. 02 Cnj. D Varjão;Ana Carla;99280-5328;carla123orges@gmail.com;27
7;COOPERE;Cooperativa;Estrutural - Aterrro do Jóquei;Zezinho;98169-4584;cooperativacoopere@gmail.com;140
8;AMBIENTE;Cooperativa;Estrutural - Aterrro do Jóquei;Cláudia;98484-6882;ambienteestrutural@gmail.com;736
9;PLASFERRO;Cooperativa;Estrutural - Aterrro do Jóquei;Mara;98629-1230;"ednaldojales@gmail.com; plasferro@gmail.com";60
10;COORACE;Cooperativa;Estrutural - Aterrro do Jóquei;Lúcia;98193-9174;luciaprescoorace@gmail.com;382
11;CONSTRUIR;Cooperativa;Estrutural - Aterrro do Jóquei;Zilda;99844-5635/98435-2878;zildacatadora@gmail.com;220
12;COOPERNOES;Cooperativa;Estrutural - Aterrro do Jóquei;Alex;98549-9245;alexcooperado@gmail.com;200
13;CARREFA;Cooperativa;Estrutural - Aterrro do Jóquei;Tiazinha;98505-6936;;7
