Data;;Hora do fechamento;Hora de abertura;Tempo total fechado (hh:mm)
Janeiro;12/01/2017;10:40;-;13:20
;13/01/2017;-;-;23:59
;14/01/2017;-;06:00;06:00
Fevereiro;10/02/2017;09:00;19:45;10:45
;17/02/2017;07:40;09:45;02:05
Março;25/03/2017;11:35;-;12:25
;26/03/2017;-;-;23:59
;27/03/2017;-;13:00;13:00
Abril;06/04/2017;13:15;15:17;02:02
Maio;03/05/2017;12:45;13:10;00:25
;05/05/2017;09:10;11:00;01:50
;12/05/2017;09:00;11:15;02:15
;12/05/2017;11:40;12:20;00:40
;15/05/2017;08:40;12:30;03:50
;18/05/2017;10:35;11:47;01:12
Junho;não houve;00:00;00:00;0
Julho;11/07/2017;07:00;09:50;02:50
;11/07/2017;12:00;14:15;02:15
;28/07/2017;11:00;11:20;00:20
Agosto;16/08/2017;15:00;17:30;02:30
;22/08/2017;14:00;15:10;01:10
;22/08/2017;15:40;-;08:20
;23/08/2017;-;14:00;14:00
Setembro;18/09/2017;07:00;10:15;03:15
;21/09/2017;12:55;14:15;02:40
Outubro;02/10/2017;09:00;09:05;00:05
;06/10/2017;08:50;09:10;00:20
;11/10/2017;11:10;16:00;05:10
;13/10/2017;10:00;10:20;00:20
;19/10/2017;23:55;-;00:05
;20/10/2017;-;-;23:59
;21/10/2017;-;07:00;07:00
;24/10/2017;09:31;09:40;00:11
Novembro;08/11/2017;11:32;11:45;00:13
;08/11/2017;12:05;16:10;04:05
;09/11/2017;07:05;11:25;04:20
Dezembro;26/12/2017;11:35;12:17;00:42
Total;;;;201:37:00
