;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL POR SERVIÇO;PERCENTUAL (%);CUSTO MÉDIO POR SERVIÇO
Varrição manual de vias;1 1.150.489,42;1 0.225.449,95;1 1.954.702,83;1 0.078.605,00;1 1.455.338,97;1 1.063.316,84;1 1.558.839,39;1 1.994.238,64;1 1.126.878,11;1 1.240.580,40;1 0.580.462,07;1 1.497.886,30;133.926.787,91;50,85%;11.185.122,63
Coleta convencional de RSU;7 .090.319,73;6 .402.271,46;7 .123.466,23;6 .370.313,83;6 .898.454,36;6 .387.636,47;6 .269.613,12;6 .686.984,09;6 .672.135,08;7 .330.024,93;7 .591.482,91;8 .548.509,27;8 3.371.211,47;31,66%;6.653.632,41
Coleta mecanizada de entulhos;1 .501.093,82;1 .262.738,94;1 .587.134,35;1 .354.510,70;1 .700.284,57;1 .420.109,81;1 .590.944,96;1 .621.707,42;1 .574.021,36;1 .339.533,36;1 .467.399,76;1 .550.239,98;1 7.969.719,02;6,82%;1.504.815,57
Operação do Aterro Controlado do Jóquei;1 .457.747,04;1 .076.665,79;1 .099.461,09;1 .024.278,85;1 .122.482,82;1 .034.272,86;9 97.734,34;1 .030.703,03;1 .155.292,68;1 .530.345,38;1 .573.317,32;1 .824.379,32;1 4.926.680,52;5,67%;1.105.418,23
Operação da usina NUSIC;1 .016.231,90;9 19.925,50;9 62.489,35;9 60.190,14;9 58.667,99;1 .002.780,11;8 80.223,76;9 15.988,57;9 19.073,99;9 66.295,69;1 .043.091,75;1 .120.459,19;1 1.665.417,94;4,43%;952.062,16
Coleta de resíduos de saúde;3 28.879,47;2 66.313,42;3 25.989,84;3 13.765,94;3 19.497,81;3 10.941,26;2 98.131,01;3 07.551,29;2 90.159,06;3 32.760,99;3 53.325,50;3 53.388,70;3.800.704,30;1,44%;308.883,76
Operação da usina NUSIS;2 37.921,80;2 79.300,68;3 15.713,71;2 41.560,71;2 08.758,45;2 83.927,61;2 67.093,54;2 66.179,17;2 61.473,21;2 50.022,21;2 26.558,71;3 02.944,77;3.141.454,57;1,19%;262.556,96
Varrição mecanizada de vias;1 23.201,21;9 6.406,26;1 41.150,11;1 30.713,31;1 82.776,03;1 82.075,98;1 75.557,06;1 38.147,12;1 72.930,40;1 37.408,96;1 48.595,38;1 53.701,74;1.782.663,56;0,68%;146.253,39
Coleta manual de entulhos;1 33.448,15;1 17.817,41;8 8.912,92;6 5.752,94;8 6.397,12;8 7.357,05;1 01.872,57;1 10.126,02;9 1.411,68;1 04.515,56;1 01.442,15;1 04.308,73;1.193.362,30;0,45%;98.960,52
TOTAL MENSAL;23.039.332,54;20.646.889,41;23.599.020,43;20.539.691,41;22.932.658,12;21.772.417,99;20.844.144,40;2 2.040.922,30;2 1.108.082,89;2 1.701.142,10;2 1.512.358,23;2 3.631.438,68;263.368.098,51;100,00%;21.947.341,54
