Aterro Sanitário de Brasília - Aterramento (2017);;
Mês;Custo mensal;Custo por tonelada
Janeiro;R$ 339 .265,05;R$ 23,72
Fevereiro;R$ 562.926,36;R$ 23,72
Março;R$ 644 .054,93;R$ 23,72
Abril;R$ 560.888,58;R$ 23,72
Maio;R$ 584.261,08;R$ 23,72
Junho;R$ 561.878,17;R$ 23,72
Julho;R$ 511.774,42;R$ 23,72
Agosto;R$ 576.616,12;R$ 23,72
Setembro;R$ 421.759,39;R$ 23,72
Outubro;R$ 400.323,39;R$ 23,72
Novembro;R$ 396.805,00;R$ 23,72
Dezembro;R$ 433.584,05;R$ 23,72
TOTAL;R$ 5.994.136,54;
MÉDIA;R$ 499.511,38;R$ 23,72
