PE RÍODO;NÚMERO DE EVENTOS;;;;;;
;Particulares (cadastrado/infor mado ao SLU) *;Combate a Dengue **;Programa Cidades Limpas (dias de eventos);Apoio a ações de outros órgãos;Institucional ***;Total de eventos;Peso (ton.)
JA NEIRO;40;2;2 1;1 0;6;7 9;3 .786
FEVEREIRO;1 63;3;1 2;9;1;1 88;647
MARÇO;82;3;7;6;6;1 04;1 .771
ABRIL;68;4;1 9;3;2;9 6;846
MAIO;94;-;1 0;-;8;1 12;584
JUNHO;98;2;1 8;-;7;1 25;2 .459
JULHO;36;2;4;-;11;5 3;435
A GOSTO;51;-;1 4;-;4;6 9;704
SETEMBRO;65;3;1 5;-;19;1 02;2 .072
OUTUBRO;44;3;1 1;-;13;7 1;527
NOVEMBRO;41;3;2 8;-;7;7 9;360
DE ZEMBRO;29;-;1 6;-;9;5 4;531
Totais;8 11;25;175;2 8;93;1 .132;14.721
