Atividades realizadas em 2017;Nº de ações;Pessoas atendidas
Palestras;27;1.483
Contação de história;07;809
Teatro;14;2.310
Visita ao Aterro Controlado do Jóquei;29;397
Visita ao Aterro Sanitário de Brasília;15;265
Visita à Usina de Tratamento Mecânico-Biológico de Ceilândia e ao Museu da Limpeza Urbana;22;964
Visita à Usina de Tratamento Mecânico-Biológico da Asa Sul;04;59
Museu da Limpeza Urbana – Itinerante;08;2.911
Inauguração do Aterro Sanitário de Brasília;01;312
Agentes de Cidadania Ambiental;09;900
Homenagem de carnaval aos garis com grupo Patubatê;01;200
Capacitação dos ambulantes para o carnaval;02;250
Mobilização de grandes geradores;01;50
Curso para professores;04;35
Mobilização para coleta seletiva;05;517
Portal do Voluntariado;03;35
Lar Verde Lar;05;250
II corrida dos Garis;01;811
Capacitação dos Núcleos de Vigilância Ambiental da Diretoria de Vigilância Ambiental (Dival);9;299
Total;94;12.343
