Dia;Mês;Tema;Palestrantes Instrutores;Presentes;Público
1;;Palestra: Balanço das ações do SLU em 2016;Dir.ª Heliana Kátia;68;
22;FEVEREIRO;Palestra:Qualidade de vida e prevenção de doenças;Wesley Lopes;30;Servidores do SLU e convidados
8;MARÇO;Festividades: Dia Internacional da Mulher;Dr. Alexandre;82;
22;;Palestra:Crise Hídrica do DF;Cristiane Castro;57;
5;;Palestra: Obras de melhoria da CAESB;Raquel Brostel;34;
19;ABRIL;Palestra: Resíduos Sólidos como vantagem competitiva;Emanuell Henrique;36;
26;;Palestra: Apresentação do edital de contratação dos serviços de limpeza pública do DF;Dr. Paulo Celso;60;
3;MAIO;Treinamento: Sistema da Ouvidoria;Bruno Marques;9;Gerentes e servidores do SLU que operam o sistema OUV
05 e 08;;Treinamento: Secretariar é uma arte;Avelange Durães e Telma Lins;69;Estagiários e Tercerizados
10;;Palestra:Sistema Eletrônico de Informação;Bruno Marques;66;Servidores do SLU e convidados
31;;Palestra: Avaliação da Gestão de Contratos;Bruno Marques;20;
7;JUNHO;Palestra: Apresentação dos mapas de riscos das unidades;Janaína Adriana;42;
8;;Palestra:Sensibilização dos servidores para a campanha de doação de sangue do Hemocentro;Equipe Hemocentro;29;
12;;Palestra: Roda de conversa – Dependência Química: Orientações Administrativas para os Gestores;Equipe da Gerência Mental e Preventiva/ Subsaúde;32;
28;;Palestra: Logística de disposição em Aterros Sanitários;Thiago Faquineli;26;
12;JULHO;Palestra:Mapeamento da Rotina Organizacional;Cristiano Lopes;35;
26;;Treinamento:Aplicação Operacional da Instrução Normativa 06/2017;Priscila Ferreira de Souza;18;Servidores lotados no NUACO
31;;Treinamento: Execução dos Contratos de triagem;Equipe da DITEC e DILUR;11;Executores dos Contratos das IRR´s
