ATIVIDADE;UNIDADE;2015;2016;2017;2018;COMPARATIVO 2017/2018 (%);COMPARATIVO 2015/2018 (%)
Coleta convencional dos resíduos sólidos domiciliares e comerciais;t;843.217;818.771;828.765;800.685;-3,39;-5,0
Coleta, tratamento e destinação dos resíduos de serviços de saúde;t;2.466;2.217;2.165;2.417;11,64;-2,0
Coleta dos resíduos de remoção (coleta corretiva) (manual + mecanizada);t;706.855;772.268;636.005;437.094;-31,28;-38,2
Varrição manual de vias e logradouros públicos;km;1.345.889;1.250.559;1.284.173;1.204.297;-6,22;-10,5
Varrição mecânica de vias e logradouros públicos;km;25.539;46.723;41.288;42.187;2,18;65,2
Pintura de meios-fios;km;4.237;5.349;8.269;8.734;5,62;106,1
Lavagem de abrigos de passageiros e passagens de pedestres;u;65.311;42.791;71.235;84.279;18,31;29,0
Catação de resíduos sólidos;ha;143.878;150.975;187.268;214.456;14,52;49,1
Resíduos sólidos processados em usinas de tratamento;t;209.121;229.054;230.916;238.851;3,44;14,2
Resíduos sólidos domiciliares aterrados;t;887.220;830.055;809.085;784.460;-3,04;-11,6
Coleta de animais mortos;u;2.952;3.281;2.920;3.011;3,12;2,0
Coleta seletiva (*);t;57.496;48.673;29.968;28.945;-3,41;-49,7
Transferência de resíduos sólidos;t x km;14.773.167;14.782.791;17.004.130;18.072.534;6,28;22,3
