FORÇA DE TRABALHO;;;;;;
SERVIDORES;;ATIVIDADE – MEIO;;ATIVIDADE - FIM;;TOTAL
;;COM CARGO EM COMISSÃO;SEM CARGO EM COMISSÃO;COM CARGO EM COMISSÃO;SEM CARGO EM COMISSÃO;
Efetivos (Quadro do GDF);;22;78;21;1.098;1.219
Comissionados (Sem vínculo efetivo);;49;0;17;0;66
REQUISITADOS;Órgãos do GDF;12;0;1;0;13
;Órgãos Estaduais;0;0;0;0;0
;Órgãos do Governo Federal;2;0;0;0;2
OUTROS;Junta de Controle;0;0;0;0;0
;Menor Aprendiz/Jovem Candango;0;1;0;26;27
;Estagiários;0;30;0;7;37
;Terceirizados (Comissão Jovem);0;48;0;4;52
Subtotal (Força de Trabalho);;85;157;39;1.135;1.416
(-) Cedidos para outros órgãos;;0;0;0;516;516
TOTAL GERAL SLU;;85;157;39;619;900
