SÉRIE HISTÓRICA - FORÇA DE TRABALHO;;;;;;;;;
Ano;Atividade-Meio;;Atividade-Fim;;Total com cargo em comissão;Total sem cargo em comissão;Total Cedidos;Total no SLU;Total geral
;Com cargo em comissão;Sem cargo em comissão;Com cargo em comissão;Sem cargo em comissão;;;;;
2008;78;1.242;88;1.100;166;2.342;;;2.508
2009;88;1.193;87;1.062;175;2.255;;;2.430
2010;134;861;114;1.151;248;2.012;;;2.260
2011;86;825;66;1.170;152;1.995;;;2.147
2012;93;779;83;1.084;176;1.863;;;2.039
2013;78;445;93;897;171;1.342;;;1.513
2014;89;499;53;96;142;595;;737;737
2015;66;182;40;539;106;721;893;827;1.720
2016;73;177;30;545;103;722;766;825;1.591
2017;69;190;33;605;102;795;578;897;1.475
jun/18;86;176;37;634;123;810;543;933;1.476
set/18;87;183;39;631;126;814;533;940;1.473
dez/18;85;157;39;619;124;776;516;900;1.416
