FORÇA DE TRABALHO LIMPEZA URBANA SLU DF;;;;;;;;;;
Quadro de servidores administrativos próprios e terceirizados;;;;;;;;;;
Pessoal SLU;Total 2014;Composição 2014;Total 2015;Composição 2015;Total 2016;Composição 2016;Total 2017;Composição 2017;Total 2018;Composição 2018
Servidores SLU e Comissionados;672;11%;746;13%;739;15%;792;15%;784;13%
Trabalhadores terceirizados;96;2%;43;1%;43;1%;50;1%;52;1%
Estagiários;25;0,4%;38;1%;43;1%;55;1%;64;1%
Subtotal SLU;793;13%;827;15%;825;17%;897;17%;900;15%
Quadro Operacional terceirizado;;;;;;;;;;
Garis coleta;1021;17%;963;17%;613;13%;645;12%;621;10%
Garis varrição;3.333;54%;2.598;46%;2.213;45%;1.808;33%;1687;27%
Garis no Tratamento;189;3%;180;3%;132;3%;288;5%;411;7%
Motoristas;337;6%;446;8%;242;5%;349;6%;350;6%
Outros serviços operacionais;453;7%;672;12%;809;17%;966;18%;942;15%
Subtotal empresas;5.333;87%;4.859;85%;4.009;82%;4.056;75%;4.011;65%
Catadores coleta seletiva;-;-;-;-;22;0,5%;22;0,4%;44;1%
Catadores triagem;-;-;-;-;-;-;430;8%;1.169;19%
Motoristas;-;-;-;-;4;0,1%;4;0,1%;11;0,2%
Administrativos;-;-;-;-;4;0,1%;4;0,1%;15;0,2%
Subtotal cooperativas;0;0%;0;0%;30;0,6%;460;8%;1.239;20%
Total operacional terceirizados;5.333;87%;4.859;85%;4.039;83%;4.516;83%;5.250;85%
Total geral;6.126;100%;5.686;100%;4.864;100%;5.413;100%;6.150;100%
