PALESTRAS, CURSOS E TREINAMENTOS COORDENADOS PELO NÚCLEO DE CAPACITAÇÃO 2018;;;;;
Dia;Mês;Tema;Palestrantes Instrutores;Presentes;Público
7;Fevereiro;75ª Palestra: Fechamento do Lixão da Estrutural e a Inclusão dos Catadores nos Centros de Triagem;Silvano Silvério e Paulo Celso (Participação Marcio Godinho);36;Servidores do SLU e convidados
21;;76ª Palestra: Fechamento do Lixão da Estrutural;Heliana Kátia;56;
28;;77ª Palestra: Política, Inovação e Lixo Zero;Alessio Ciacci e Rodrigo Sabatini;63;
7;Março;78ª Palestra: Workshop - Mulheres de Sucesso - Seja sua Melhor Versão;Patrícia Oliveira;47;
9;;Oficina: Lidando com as Emoções;Me. Andrea Chaves;34;
21;;79ª Palestra: Comemoração ao Dia do Ouvidor;Bruno Marques;49;
4;Abril;80ª Palestra: Controle de Transporte de Resíduos e Grandes Geradores;Silvano Silvério e Paulo Celso;41;
9 a 13;;81ª Palestra: Relatório de Atividades 2017;Heliana Kátia;73;
18;;82ª Palestra: Panorama da Gestão dos Resíduos Sólidos no Japão;Marcos José Pereira de Oliveira;44;
2;Maio;83ª Palestra: Mapeamento de Processos do SLU;Bruno Marques e Equipe;37;
16;;84ª Palestra: Mas afinal, sou um grande gerador?;Paulo Melo Filho;44;
4 a 8;Junho;Curso Interno: Processo Disciplinar;André Cruz e Maria Antonia (Unidade de Auditoria Interna);8;Servidores do SLU
