09 a 10;Outubro;Curso da Fral;FRAL;52;Servidores do SLU
17;;96ª Controle Interno: Gestão de Risco;André Marques;20;
18;;97ª Diagnóstico Precoce do Câncer de Mama;Farid Buitrago (SES);46;
24;;98ª A Importância da Saúde e da Segurança no Trabalho: nas IRRs e na Vida;Janaína Trindade Paulo Celso;51;
25 a 26;;CURSO – Educação Financeira Pessoal;Alexandre Michel (BRB);31;
31;;99ª Controle Interno: Integridade;André Marques;14;
12 a 13;Novembro;Curso: Educação Financeira Pessoal - BRB;Alexandre Michel (BRB);18;Servidores do SLU
12;;100º Apresentação do Case do Fechamento do Lixão;Heliana Kátia;76;
19 a 23;;Campat (Campanha de Prevenção de Acidentes de Trabalho);UnB/ CBMDF/ Vigilância Sanitária/Fundacentro;119;
28;;101º Gestão de Resíduos Sólidos no Japão;Francisca Freire;29;
12;Dezembro;102º Acidentes em Serviço;Dr. Saulo Veras;9;Servidores do SLU
17;;103º Encerramento do Vem Saber 2018;Heliana Kátia;77;
TOTAL DE SERVIDORES;;;;1.859;
MÉDIA DE SERVIDORES POR EVENTO;;;;51,6;
