Síntese de palestras, cursos e treinamentos realizados por outros órgãos - 2018;;;
TIPO;EVENTO;ÓRGÃO;N.º DE SERVIDORES CERTIFICADOS
CURSO;Sistema Eletrônico de Informações;EGOV;34
;Gestão de Fiscalização de Contratos;;1
;Conferência de Folha de Pagamento;;1
;Elaboração de Projeto Básico e Termo de Referência;;2
;Licitações e Contratos Lei nº 8.666/93;;1
;Lei Complementar nº 840/2011;;1
;Programa de Desenvolvimento de Líderes Públicos do Governo do Distrito Federal;;1
;Administração orçamentaria, financeira, patrimonial e contábil com foco no sistema de gestão;;2
;Certidão de Tempo de Serviço e de Contribuição;;2
;Sistema de Controle de Emendas Parlamentares (Sisconep);;2
;Acompanhamento e Fiscalização da Execução de Contratos;;4
;Tratamento de Acervo e Arquivismo;;1
;Programa de Formação em Ouvidoria;;2
;III Semana de Capacitação e Aperfeiçoamento Técnico em Controle - Turma 1;;1
;Coaching com Auto Liderança;;1
;Educação Financeira Pessoal;;3
;Capacitação na Ferramenta SIGRHWEB;;2
;Programa de Formação em Ouvidoria- Qualidade na Resposta;;1
