Análise do Quadro de Detalhamento da Despesa de 2018;;;;;;;;;
Programa de Trabalho;Lei;Alteração;Contingenciado;Cota;Bloqueado;Desp. Autorizada;Empenhado;Disponível;Liquidado
Conservação das Estruturas Físicas de Edificações Públicas;41.985,00;;41.985,00;;;-;;-;-
Gestão da Informação e dos Sistemas de Tecnologia;3.800.891,00;- 1.464.584,00;821.526,85;;;1.514.780,15;1.514.780,15;-;1.371.892,72
Administração de Pessoal;115.901.221,00;4.081.399,00;;54.353,27;;119.928.266,73;119.928.266,73;-;119.928.266,73
Concessão de Benefícios a Servidores;12.388.457,00;- 2.320.537,00;6.954,72;;;10.060.965,28;10.060.965,28;-;10.060.965,28
Publicidade e Propaganda Institucional;152.010,00;;;;;152.010,00;152.010,00;-;135.510,00
Publicidade e Propaganda Utilidade Pública;1.350.000,00;;1.306.543,72;;;43.456,28;43.456,28;-;40.956,28
Manutenção de Serviços Administrativos Gerais;7.161.835,00;181.893,00;1.082.406,60;0,10;51.839,00;6.209.482,30;6.209.482,30;-;5.768.660,96
(EPI) Modernização de Sistema de Informação;;848.000,00;;;;848.000,00;848.000,00;-;848.000,00
(EPI) Modernização de Sistema de Informação;;152.000,00;;;152.000,00;-;;-;-
Modernização de Sistema de Informação;16.948,00;23.999,00;24.999,00;;;15.948,00;15.948,00;-;14.619,00
