COLETA SELETIVA E TRIAGEM;;;;;;;;
Nº;Contrato;Empresa;Data de assinatura/ início da vigência;Objeto;Término da vigência;Valor (R$);Executores e Suplentes;OBS
1;17/2013;VALOR AMBIENTAL LTDA;13.12.2013;Coleta Seletiva de resíduos recicláveis;13.12.2018;MENSAL: R$ 519.779,70 ANUAL: R$ 6.237.356,40;Sandra Cordeiro de Souza/ Jorge Antônio da Costa/ Aldemir Ferreira Tavares/ Carlos Henrique Silva/ Deusimar Carlos Pinto e Daniel Pereira Rocha;Encerrado
2;05/2016;RECICLE A VIDA;20.05.2016;Coleta Seletiva de resíduos recicláveis;20.05.2019;MENSAL: R$ 33.338,62 ANUAL: R$ 400.063,44;Rafael Souza Araújo/ João Bosco Elias Rabelo/ Francisco Antônio Mendes Jorge;Vigente
3;06/2016;ACOBRAZ;18.05.2016;Coleta Seletiva de resíduos recicláveis;18.05.2019;MENSAL: R$ 31.931,96 ANUAL: R$ 383.183,52;Rafael Souza Araújo/ João Bosco Elias Rabelo/ Francisco Antônio Mendes Jorge;Vigente
4;07/2016;R3 COOPERATIVA;18.05.2016;Coleta Seletiva de resíduos recicláveis;19.05.2019;MENSAL: R$ 31.931,96 ANUAL: R$ 383.183,52;Rafael Souza Araújo/ João Bosco Elias Rabelo/ Francisco Antônio Mendes Jorge;Vigente
5;08/2016;RENASCER;18.05.2016;Coleta Seletiva de resíduos recicláveis;18.05.2018;MENSAL: R$ 31.931,96 ANUAL: R$ 383.183,52;Rafael Souza Araújo/ João Bosco Elias Rabelo/ Francisco Antônio Mendes Jorge;Vigente
6;09/2017;ASSOCIAÇÃO DOS CATADORES PRÉ COOPERATIVA RECICLA MAIS BRASIL;03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 4.605,50 ANUAL: 55.266,00;Deusimar Carlos Pinto/ Francisco Ary Júnior Costa Pereira;Rescindido
7;10/2017;ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE BRAZLÂNDIA (ACOBRAZ);03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 6.447,70 ANUAL: 77.372,40;Divino Eterno Ribeiro/ Carlos Alberto Maria da Encarnação;Rescindido
8;11/2017;COOPERATIVA RENOVE DE RESÍDUOS SOLIDOS DE BRASÍLIA (CRRSB);03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 17.040,35 ANUAL: 204.484,20;Francisco Ary Junior Costa Pereira/ Deusimar Carlos Pinto;Rescindido
9;12/2017;COOPERATIVA DE RECICLAGEM AMBIENTAL (COOPERDIFE);03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 11.053,20 ANUAL: 132.638,20;Jorge Silva dos Santos/ Luciana Brito Cavalcante;Rescindido
10;13/2017;ASSOCIAÇÃO PRÉ- COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS (APCORC);03.07.2017;Contratação de associação de catadores de materiais recicláveis e reutilizáveis;03.07.2018;MENSAL: 36.844,00 ANUAL: 442.128,00;Jorge Antônio da Costa/ Paulo César Damasceno;Encerrado
