ORGANIZAÇÃO GOVERNAMENTAL;;
COLOCAÇÃO;INSTITUIÇÃO;NOME
Titular;Sinesp/DF;Antonio Raimundo Coimbra
1º Suplente;;Diego Bergamaschi
2º Suplente;;Norma Chemin
Titular;SLU/DF;Heliana Kátia Tavares Campos
1º Suplente;;Gerson Inacio da Silva
2º Suplente;;Paulo Celso dos Reis Gomes
Titular;Novacap;Marco Aurélio Souza Bessa
1º Suplente;;Vanessa Figueiredo Mendonça Freitas
2º Suplente;;Eliene Muniz de Matos Navarro
Titular;Agefis/DF;Francisca Batista Paiva Marinho
1º Suplente;;Isabela Fiche Seabra
2º Suplente;;Edmilson da Cruz Gonçalves
Titular;Ibram/DF;Alessandra do Valle Abrahão Soares
1º Suplente;;Janaina Soares e Silva Araujo
2º Suplente;;Sandro Antonio de Lima
Titular;Adasa/DF;José Walter Vasquez Filho
1º Suplente;;Elen Dânia Silva dos Santos
2º Suplente;;Silvo Góes de Alcântara
Titular;Sema/DF;Glauco Amorim da Cruz
1º Suplente;;Adriana Moreira Dias
