ASSOCIAÇÃO DE MORADORES / SOCIEDADE CIVIL;;
COLOCAÇÃO;INSTITUIÇÃO;NOME
Titular;Associação dos Moradores da SQS 307;Fatima de Maria Silva Sousa
1º Suplente;;-
2º Suplente;;-
Titular;AMAAC;-
1º Suplente;;José Antonio da Silva Junior
2º Suplente;;-
Titular;Associação dos Moradores da SHIS QI 17;Heloisa Prates Doyle
1º Suplente;;-
2º Suplente;;-
Titular;CDI/DF;Gustavo Noleto e Silva Bertolino
1º Suplente;;-
2º Suplente;;-
Titular;Inesc;José Antonio Moroni
1º Suplente;;Yuriê Baptista Cesar
2º Suplente;;-
