Taxa de recuperação de Materiais Recicláveis oriundos da Coleta Seletiva Inclusiva (janeiro/2018 - dezembro/2018);;;;;;;
Cooperativa;Resíduo coletado (kg);Total de Viagens;Média por Viagem (kg);Rejeito (kg);Resíduo aproveitado (kg);Média Mensal Resíduo aproveitado (kg);Aproveitamento
Vencendo Obstáculos;165.950;204;813;51.000;114.950;16.421;69%
Cooperdife;540.900;548;987;143.660;397.240;39.724;73%
Coopere;477.970;450;1.062;72.780;405.190;40.519;85%
CRV;514.390;397;1.296;46.900;467.490;46.749;91%
Ecolimpo;318.251;412;772;85.290;232.961;23.296;73%
Recicla Brasília;351.840;359;980;45.620;306.220;30.622;87%
Recicla Mais Brasil;316.630;410;772;87.010;229.620;22.962;73%
Renascer;208.680;246;848;14.790;193.890;16.158;93%
Recicle a Vida;399.750;442;904;57.330;342.420;28.535;86%
R3;464.279;509;912;152.980;311.299;25.942;67%
Acobraz;481.849;487;989;11.190;470.659;39.222;98%
Total;4.240.489;4.464;950;768.550;3.471.939;330.149;82%
