Cooperativa;Vigência do Contrato;Valor Mensal previsto;Valor Unitário por tonelada triada;Peso máximo por mês apresentado (t);Peso máximo previsto em contrato (t);Nº Catadores
Acobraz;Junho de 2018 a Junho de 2019;R$ 16.433,34;R$248,10;62,00;90,00;33
Ambiente;Janeiro de 2018 a Janeiro de 2019;R$ 107.550,8;R$304,14;545,00;1000,00;275
Cataguar;Junho de 2018 a Junho de 2019;R$ 52.880,74;R$248,10;200,00;220,00;74
Construir;Janeiro de 2018 a Janeiro de 2019;R$ 54.745,28;R$304,14;180,00;200,00;75
Coopativa;Junho de 2018 a Junho de 2019;R$ 18.248,40;R$304,14;200,00;60,00;27
Cooperdife;Junho de 2018 a Junho de 2019;R$ 54.582,00;R$304,14;180,00;180,00;52
Coopere;Janeiro de 2018 a Janeiro de 2020;R$ 27.372,6;R$304,14;299,78;90,00;55
Cooperlimpo;Janeiro de 2018 a Janeiro de 2019;R$ 62.025,00;R$304,14;203,94;200,00;27
Coopernoes;Janeiro de 2018 a Janeiro de 2019;R$ 60.828,00;R$304,14;200,00;90,00;31
Coorace;Janeiro de 2018 a Janeiro de 2019;R$ 120.439,44;R$304,14;85,00;96,00;89
Cortrap;Janeiro de 2018 a Janeiro de 2019;R$ 25.851,90;R$304,14;90,00;85,00;28
Plasferro;Janeiro de 2018 a Janeiro de 2019;R$ 60.828,00;R$304,14;115,00;200,00;52
Recicla Mais Brasil;Junho de 2018 a Junho de 2019;R$ 30.414,00;R$304,14;200,00;100,00;28
Recicle a Vida;Junho de 2018 a Junho de 2019;R$ 91.174,50;R$304,14;300,00;300,00;47
Renascer;Junho de 2018 a Junho de 2019;R$ 21.289,80;R$304,14;90,00;70,00;19
Renove;Junho de 2018 a Junho de 2019;R$ 62.025,00;R$248,10;122,59;250,00;119
