Mês;Produção;Rejeito do composto;Doação (quant. entregue);Venda (quant. entregue);Doação no trimestre;Venda no trimestre
Jan;5.380,41;702,71;1.218,09;0,00;3.118,77;0,00
Fev;5.327,14;2.836,51;1.055,95;0,00;;
Mar;4.817,32;1.613,80;844,73;0,00;;
Abr;4.985,20;804,78;956,18;0,00;1.552,58;0,00
Mai;5.516,59;1.680,68;408,80;0,00;;
Jun;5.086,55;2.345,91;187,60;0,00;;
Jul;4.991,48;893,70;1.475,40;0,00;5.506,61;5,06
Ago;5.732,41;1.431,81;2.970,44;5,06;;
Set;5.945,50;2.832,07;1.060,77;0;;
Out;6.341,53;1.055,84;1.614,42;0;3.733,04;0,00
Nov;6.176,65;1.224,80;1.003,05;0;;
Dez;5.092,93;944,79;1.115,57;0;;
Total;65.393,71;18.367,40;13.916,06;;13.911,00;5,06
