Localidade/data de inauguração da unidade;;Entulho (t);Volumosos (t);Podas (t);Recicláveis (t);Óleo (l);Total recebido
Ceilândia;04/03/2017;1465;136;6;16;127;1623
Taguatinga;05/06/2017;1648;73;104;2;37;1827
Brazlândia;09/06/2017;308;11;7;1;0;326
Gama;21/06/2017;843;216;24;39;137;1121
Guará;23/06/2017;2050;124;89;3;0;2265
Planaltina;27/06/2017;783;69;23;24;40;898
P Sul;06/07/2017;327;75;7;0;0;410
Brasília;04/12/2018;3;0;1;0;0;4
Brazlândia 2;26/09/2018;Em fase de adequação;;;;;
Total;;7427;704;260;85;341;8.475
