Endereço;Setor Habitacional;RA;Data;Nº
SHSN AVC 311 Ch.99 Loja 06 (em frente) - 02 Caixas Ch. do Padre (Trecho II);Sol Nascente;Ceilândia;06/18;57
SHSN AVC 311 Ch.91 Conj. A, rumo à Casa 43 (Trecho II);Sol Nascente;Ceilândia;06/18;58
SHSN AVC 311 Qd. 209 Conj. B próximo à Casa 80 (Trecho II);Sol Nascente;Ceilândia;06/18;59
SHSN Ch. 07 Lote 03 Casa 2/3 - Boa Vista - Fund. Bradesco (Trecho I);Sol Nascente;Ceilândia;06/18;60
SHSN Qd. 501 Conj. B Casa 54 - Pracinha (Trecho I);Sol Nascente;Ceilândia;06/18;61
SHSN Qd. 36 Conj. H - Madureira em frente à BA Reciclagem (Trecho I);Sol Nascente;Ceilândia;06/18;62
SHSN Ch. 115 Lote 01 Loja 01 - Supermercado Ideal (Trecho III);Sol Nascente;Ceilândia;06/18;63
SHSL Área Caesb, em frente à Rua 32 Qd. 39 Lote 61;Santa Luzia;Estrutural;06/18;64
SHSL próximo ao campo sintético mais para o início;Santa Luzia;Estrutural;06/18;65
SHSL Qd. 53 Lote 02;Santa Luzia;Estrutural;06/18;66
SHSL Rua 54 Qd. 53 Lote 117;Santa Luzia;Estrutural;06/18;67
SHPS Ch. 76 entre QNP 32 e 28;Pôr do Sol;Ceilândia;07/18;68
SHPS 701/702 - em frente à Qd. 701 Conj. A casa 15;Pôr do Sol;Ceilândia;07/18;69
SHPS 102 Lote 01;Pôr do Sol;Ceilândia;07/18;70
SHSN AVC 311 Qd 204 - Zé Vaqueiro - Trecho II,;Sol Nascente;Ceilândia;07/18;71
SHSN AVC 311 Ch 98 Conj. K;Sol Nascente;Ceilândia;07/18;72
SHSN EQNP 11/15 Blocos A a D;Sol Nascente;Ceilândia;07/18;73
SHSN Ch. 115 A Conj. F1 Casa 31 A;Sol Nascente;Ceilândia;09/18;74
SHSN Ch. 115 Conj. R Casa 08;Sol Nascente;Ceilândia;09/18;75
Cond. Gênesis, Conj. V, Casa 724;Sol Nascente;Ceilândia;09/18;76
SHSN Ch. 02 Conj. K1 Casa 30;Sol Nascente;Ceilândia;09/18;77
SHSN Chácara São Pedro nº 55 B;Sol Nascente;Ceilândia;09/18;78
SHSN Ch. 02 Conj. 01 Casa 30;Sol Nascente;Ceilândia;09/18;79
SHSN Ch. 02 Conj. 1P Casa 36;Sol Nascente;Ceilândia;09/18;80
SHSN Ch. 55 lote 07;Sol Nascente;Ceilândia;09/18;81
SHSN Ch. 101 Asa 11 - Cond. Gilliard;Sol Nascente;Ceilândia;10/18;82
SHSN Ch. 99 Cond. Gilliard;Sol Nascente;Ceilândia;09/18;83
SHSN Ch. 98 - Cond. Qd. B Casa 02 - Cond. Gilliard;Sol Nascente;Ceilândia;09/18;84
SHA Conjunto 05 Ch. 121 B casa 03;Arniqueiras;Águas Claras;10/18;85
