DATA;ACIDENTE;TOTAL
2015;;
02/04/2015;Atropelamento por trator.;6
23/05/2015;Atropelamento por caminhão.;
19/08/2015;Atingido por tampa traseira da caçamba.;
02/10/2015;Perna presada por carreta ao pegar carona.;
22/10/2015;Tombamento de carreta.;
26/11/2015;Caminhão passou por cima do pé.;
2016;;
06/01/2016;Perna presada ao pegar carona.;10
10/01/2016;Carreta passou por cima do pé.;
17/03/2016;Fita de nylon presa à esteira do trator causou ferimento na perna.;
14/07/2016;Queda de caminhão.;
11/08/2016;Assassinado.;
19/08/2016;Baleado na perna.;
19/08/2016;Tampa de carreta soltou atingindo perna.;
01/09/2016;Baleado na perna.;
26/10/2016;Pé esquerdo atingido durante a manobra de uma carreta.;
27/10/2016;Perna direita atingida por caixa brooks ao descarregar.;
2017;;
17/02/2017;Foi encontrada perna humana.;27
25/03/2017;Ferimento por pedras arremessadas pelos catadores.;
05/04/2017;Corpo encontrado na área do ACJ – homicídio.;
16/04/2017;Ferimentos leves durante o tombamento da carreta.;
