Mês;Remoção Manual;Remoção Mecanizada;Outros;Total
Janeiro;202,66;5.107,87;7.412,82;12.723,35
Fevereiro;1.195,81;49.826,74;67.248,61;118.271,16
Março;1.414,82;44.277,36;85.109,86;130.802,04
Abril;1.331,69;37.691,94;78.669,83;117.693,46
Maio;1.376,70;28.919,44;91.528,23;121.824,37
Junho;1.442,25;37.237,08;100.434,83;139.114,16
Julho;1.492,01;36.493,92;80.771,02;118.756,95
Agosto;1.615,63;33.927,57;88.417,57;123.980,77
Setembro;1.361,70;27.327,87;83.161,60;111.851,17
Outubro;1.182,19;32.187,38;90.040,12;129.409,69
Novembro;724,89;28.556,01;72.183,90;101.464,80
Dezembro;785,60;26.382,61;53.944,16;81.112,37
TOTAL;14.125,95;387.935,79;904.922,55;1.306.984,29
