2018;Resíduos sólidos domiciliares (t);Resíduo de Caixa de gordura (t);Animais mortos (t);Resíduo sólido da Estação de Tratamento de Esgoto (t);Resíduos sólidos de Grandes Geradores (t);Total (t)
Janeiro;36.053;15;8;829;615;37.520
Fevereiro;63.835;9;6;675;805;65.330
Março;67.559;11;7;605;1.228;69.412
Abril;62.964;13;4;675;975;64.630
Maio;58.963;13;4;456;1.008;60.444
Junho;58.729;13;5;616;1.372;60.735
Julho;56.147;11;8;900;1.312;58.377
Agosto;61.138;15;4;1.072;1.748;63.978
Setembro;57.186;10;7;741;2.127;60.072
Outubro;64.459;10;9,8;691;2.759;67.930
Novembro;64.628;8;11;1.095;2.765;68.462
Dezembro;68.471;5;7;807;3.425;72.717
TOTAL;715.378;129;79;8.999;20.063;744.606
