URE - Operação em 2018 – (R$);;;
Mês;Custos de fiscalização;Custo de Operação da URE;Custo por tonelada para aterramento
Janeiro;351.271,16;139.025,17;10,92
Fevereiro;351.271,16;1.291.371,90;10,92
Março;351.271,16;1.428.044,98;10,92
Abril;351.271,16;1.285.212,58;10,92
Maio;351.271,16;1.330.758,92;10,92
Junho;351.271,16;1.519.126,63;10,92
Julho;351.271,16;1.180.583,48;10,92
Agosto;351.271,16;1.227.401,41;10,92
Setembro;351.271,16;1.192.505,05;10,92
Outubro;351.271,16;1.399.006,96;10,92
Novembro;351.271,16;1.096.969,50;10,92
Dezembro;351.271,16;876.921,90;10,92
TOTAL;4.215.253,92;13.966.928,48;
TOTAL GERAL;18.182.182,40;;
MÉDIA;351.271,16;2.148.758,23;10,92
