Atividades mobilização e educação ambiental em 2018;Nº DE AÇÕES;PESSOAS ATENDIDAS
Ação na Escola Guariroba;1;150
Capacitação dos catadores;4;347
Capacitação de servidores da Diretoria de Vigilância Ambiental em Saúde (Dival);2;52
Capacitação de servidores do Parque Educador do Instituto Brasília Ambiental (Ibram);1;15
Capacitação dos Voluntários da Coleta Seletiva;8;43
Clean Up Day;4;349
Dia Mundial da Limpeza Urbana - Ação na Rodoviária*;1;100
Encontro de Condomínios e Síndicos de Águas Claras;1;14
Bloco de Carnaval Brasília Limpa ao som do Patubatê;1;400
Inauguração dos ecopontos da Codevasf;1;30
Inauguração e visitas às instalações de recuperação de resíduos (IRRs);13;747
Orientação para a coleta seletiva em parceria com a Assosíndicos/DF;25;73
Orientação da coleta seletiva;179;894
Palestras para o público externo;9;606
Participação no Encontro da Coleta Seletiva Octogonal e Sudoeste no Ministério Público;1;20
Participação na Virada do Cerrado;7;1.220
Grupo Teatral Arte Seletiva;14;4.713
Visita à Unidade de Recebimento de Entulho (URE);3;16
Visitas à Usina de Tratamento Mecânico Biológico da Ceilândia e ao Museu da Limpeza Urbana (UTMB);47;744
Visitas ao Aterro Sanitário de Brasília (ASB);28;458
TOTAL;350;10.991
