SÉRIE HISTÓRICA DOS QUANTITATIVOS ALCANÇADOS NA EXECUÇÃO DOS SERVIÇOS;;;;;
Atividade;Unidade;2017;2018 - A;2019 – B;Comparativo B / A (%)
Coleta dos resíduos domiciliares e comerciais;T;828.765;800.685;782.125;- 2,32
Coleta, tratamento e destinação dos resíduos de serviços de saúde;T;2.165;2.417;2.513;+ 3,97
Coleta dos resíduos de remoção (coleta corretiva) (manual + mecanizada);T;636.005;438.079;425.175;- 2,95
Varrição manual de vias e logradouros públicos;Km;1.284.173;1.204.297;1.193.036;- 0,94
Varrição mecanizada de vias e logradouros públicos;Km;41.288;42.187;61.407;+ 45,56
Pintura manual e mecanizada de meios-fios;Equipe;71,30;75,40;78,70;+ 4,38
Lavagem de vias;Equipe;72,00;72,19;66,20;- 8,30
Lavagem de abrigos de passageiros e passagens de pedestres;Equipe;35,13;36,03;34,80;- 3,41
Catação de papel em áreas verdes;Equipe;363,70;414,64;411,99;- 0,64
Serviços diversos;Equipe;401,02;316,46;242,26;- 23,45
