FORÇA DE TRABALHO;;;;;
SERVIDORES;;ATIVIDADE - MEIO;;ATIVIDADE - FIM;
;;COM CARGO EM COMISSÃO;SEM CARGO EM COMISSÃO;COM CARGO EM COMISSÃO;SEM CARGO EM COMISSÃO
Efetivos (Quadro do GDF);;20;130;26;943
Comissionados (Sem vínculo efetivo);;57;0;9;0
REQUISITADOS;Órgãos do GDF;7;0;0;0
;Órgãos Estaduais;0;0;0;0
;Órgãos do Governo Federal;0;0;0;0
OUTROS;Junta de Controle;0;0;0;0
;Menor Aprendiz/Jovem Candango;0;0;0;1
;Estagiários;0;36;0;4
;Terceirizados (Comissão Jovem);;44;0;8
Subtotal (Força de Trabalho);;84;210;35;956
(-) Cedidos para outros órgãos;;0;0;0;420
TOTAL GERAL SLU;;84;210;35;536
