N°;Pessoal limpeza urbana;Operacional;;;;;;;;;Apoio;;;;Catadores Beneficiados Indiretamente;Total
;;oãçirrav iraG;roteloC;etnadujA;/rodazilibom /rotinoM rosivrepuS /oãçirrav( )ateloc;rodataC;ed aniuqám rodarepO;Motorista;;sosreviD;/oriehnegnE od ed açnarugeS ohlabarT ocincéT;od ohlabarT ocidéM;/ovitartsinimdA oãçanedrooC;sosreviD;;
;;;;;;;;ateloC;sedadivita sartuO;;;;;;;
1;VALOR AMBIENTAL (LOTE I) Coleta Convencional e limpeza urbana;697;272;263;42;-;14;160;;14;8;1;15;21;-;1507
2;SUSTENTARE (LOTE II) Coleta Convencional e limpeza urbana;779;254;-;51;-;6;155;;58;6;1;38;25;-;1373
3;CONSITA (LOTE III) Coleta Convencional e limpeza urbana;679;243;-;51;-;11;114;;25;5;1;13;12;-;1154
4;BELFORT Resíduos dos Serviços de Saúde;-;6;2;-;-;2;7;1;6;1;-;2;-;-;27
5;Cooperativa de Catadores RENASCER;;3;;1;;;1;;1;;;1;;;7
6;Associação dos Catadores ACOBRAZ;;2;;1;;;1;;1;;;1;;;6
7;Cooperativas de Catadores RECICLE A VIDA;;2;;2;;;1;;1;;;1;;;7
8;Cooperativa de Catadores R3;;2;;1;;;1;;1;;;1;;12;18
9;Cooperativa de reciclagem COOPERDIFE;;2;;2;;;1;;1;;;1;;;7
10;Cooperativa de Catadores COOPERE;;2;;2;;;2;;1;;;2;;;9
