DIVISÃO DO ORÇAMENTO (R$) - 2019;;;;;
;Tipo de Despesa;;;;
;Pessoal Técnico Administrativo*;Limpeza Pública;Obras /Mat. Perm.;Manutenção Adm.;Total Mensal
JAN;6.713.435;34.035.841;0;942.580;41.691.855
FEV;6.375.236;31.966.298;0;1.338.487;39.680.022
MAR;6.736.798;33.123.829;0;1.081.494;40.942.121
ABR;6.659.272;33.053.828;0;1.141.049;40.854.149
MAI;6.521.079;34.405.023;0;1.134.718;42.060.820
JUN;7.312.657;32.169.861;213.085;1.195.366;40.890.969
JUL;7.408.000;3.276.000;0;1.298.000;41.982.000
AGO;7.198.000;32.896.000;0;1.188.000;41.282.000
SET;7.228.000;34.146.000;426.328;1.194.000;42.994.328
OUT;6.491.439;34.432.020;0;1.139.000;42.062.459
NOV;6.898.253;35.426.580;0;1.265.233;43.590.066
DEZ;7.211.142;36.412.480;0;1.197.155;44.820.777
TOTAL;82.753.310;405.343.759;639.414;14.115.082;502.851.565
Média/Mês;9.194.812;45.038.195;71.046;1.568.342;55.872.396
