Fonte;;;;
;100;114;220;TOTAL
JAN;45.901.558,04;Sem arrecadação;1.485,52;45.903.043,56
FEV;33.605.085,84;10.048.760,77;204.540,04;43.858.386,65
MAR;37.661.075,88;7.797.777,91;2.353,05;45.461.206,84
ABR;35.035.066,18;9.626.921,13;1.401,83;44.663.389,14
MAI;37.604.694,23;8.301.818,09;32.691,23;45.939.203,55
JUN;14.869.497,69;30.279.418,68;24.931,97;45.173.848,34
JUL;20.706.948,11;29.702.349,18;25.589,46;50.434.886,75
AGO;16.686.704,13;28.457.409,89;2.634.767,67;47.778.881,69
SET;21.543.192,95;24.141.696,06;234.996,70;45.919.885,71
OUT;28.383.578,84;10.455.833,20;237.758,85;39.077.170,89
NOV;36.347.926,75;9.560.054,39;131.928,68;46.039.909,82
DEZ;18.598.876,67;31.389.453,00;2.670.998,08;52.659.327,75
%;62,749%;36,129%;1,122%;100%
